published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-16,729.80,770.10,729.80,759.81,2.04,9711.00,7412818.40,1,1
2025-07-15,737.0,748.0,734.0,744.63,0.66,9784.0,7237410.4,1,1
2025-07-14,751.0,755.0,735.0,739.74,-1.05,5132.0,3815015.7,-1,1
2025-07-13,739.0,770.0,739.0,747.57,3.17,11925.0,8890245.7,1,1
2025-07-10,719.0,725.0,712.2,724.57,2.19,5730.0,4141364.0,1,1
2025-07-09,709.0,716.0,703.0,709.07,0.01,1363.0,967960.0,1,1
2025-07-08,712.0,712.0,701.0,709.0,-0.17,1208.0,851943.3,-1,1
2025-07-07,708.68,713.0,700.1,710.18,0.21,4099.0,2882012.3,1,1
2025-07-06,720.0,720.0,705.7,708.68,-1.58,3647.0,2588559.7,-1,1
2025-07-03,734.0,744.0,711.0,720.03,0.0,5630.0,4100914.4,0,1
2025-07-02,732.1,746.8,713.0,720.02,0.29,5690.0,4099029.1,1,1
2025-07-01,725.0,725.0,710.5,717.92,0.42,5965.0,4272133.2,1,1
2025-06-30,693.0,742.7,693.0,714.95,3.27,6306.0,4474407.8,1,1
2025-06-29,676.0,700.0,676.0,692.3,2.18,3290.0,2263397.0,1,1
2025-06-26,685.0,685.0,677.0,677.54,-0.11,2129.0,1449305.9,-1,1
2025-06-25,686.38,686.38,678.0,678.27,-1.18,2171.0,1476384.8,-1,1
2025-06-24,690.0,698.0,684.0,686.38,0.01,3831.0,2647252.5,1,1
2025-06-23,680.0,693.6,680.0,686.29,-0.57,2195.0,1506577.5,-1,1
2025-06-22,690.0,693.0,689.1,690.19,-0.6,2940.0,2028837.6,-1,1
2025-06-19,692.0,704.9,692.0,694.33,-1.36,2419.0,1685226.5,-1,1
2025-06-18,721.0,721.0,701.0,703.92,-0.74,2035.0,1433934.7,-1,1
2025-06-17,710.0,714.0,700.0,709.14,1.73,4044.0,2869688.6,1,1
2025-06-16,690.0,704.3,688.0,697.11,0.98,10511.0,7275672.7,1,1
2025-06-15,687.0,709.9,687.0,690.34,-1.38,5044.0,3491021.6,-1,1
2025-06-12,701.2,709.0,700.0,700.0,-0.97,6880.0,4827480.8,-1,1
2025-06-11,708.0,708.0,705.0,706.87,-0.28,2519.0,1781532.7,-1,1
2025-06-10,722.5,722.5,707.0,708.87,-0.07,1844.0,1311361.2,-1,1
2025-06-09,705.0,715.0,700.0,709.36,-0.24,6456.0,4544685.2,-1,1
2025-06-08,715.53,725.9,702.0,711.05,-0.63,4704.0,3350780.1,-1,1
2025-06-05,715.0,728.0,715.0,715.53,-0.02,865.0,619248.0,-1,1
2025-06-04,730.0,730.0,715.0,715.64,-1.37,2288.0,1640896.6,-1,1
2025-06-03,769.7,769.7,722.1,725.6,-3.86,1829.0,1338177.0,-1,2
2025-06-02,747.0,755.0,736.0,754.7,2.91,11603.0,8710741.1,1,1
2025-05-28,728.29,742.8,708.0,733.34,0.69,6057.0,4365322.4,1,1
2025-05-27,732.0,737.6,725.3,728.29,-2.35,1970.0,1437308.8,-1,2
2025-05-26,767.0,767.0,734.0,745.84,-0.82,9965.0,7400151.0,-1,1
2025-05-25,732.7,790.0,725.2,752.03,3.44,16908.0,12566368.1,1,2
2025-05-22,710.0,735.0,709.0,727.0,2.59,10028.0,7257152.6,1,3
2025-05-21,721.0,735.4,708.0,708.68,0.12,5239.0,3742766.4,1,4
2025-05-20,718.0,718.0,696.0,707.81,0.54,3195.0,2252342.8,1,5
2025-05-19,695.0,727.0,687.3,704.0,0.47,6278.0,4393611.5,1,6
2025-05-18,696.0,709.0,696.0,700.72,0.64,4953.0,3480772.7,1,7
2025-05-15,703.0,705.0,696.1,696.27,-0.48,2110.0,1474725.4,-1,8
2025-05-14,704.0,704.0,696.1,699.6,-0.63,2735.0,1912560.0,-1,9
2025-05-13,727.0,727.0,702.0,704.0,-1.23,1743.0,1233352.9,-1,10
2025-05-11,729.2,729.2,710.0,712.78,-0.3,2413.0,1727918.7,-1,11
2025-05-08,721.0,724.0,707.0,714.92,1.13,3519.0,2522723.6,1,12
2025-05-07,684.0,708.0,684.0,706.91,1.42,3910.0,2741625.1,1,13
2025-05-06,704.6,714.0,686.0,697.0,0.9,1399.0,972433.2,1,14
