published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2020-10-15,202.00,206.00,196.00,197.00,-1.01,16666.00,3336294.00,-1,1
2020-10-14,202.00,206.00,199.00,199.00,-2.93,19068.00,3848507.00,-1,2
2020-10-13,214.00,215.00,204.00,205.00,-2.38,36856.00,7643169.00,-1,3
2020-10-12,211.00,215.00,197.00,210.00,4.48,41490.00,8703199.00,1,4
2020-10-11,205.00,208.00,200.00,201.00,-3.83,22691.00,4605707.00,-1,5
2020-10-08,215.00,226.00,206.00,209.00,-0.95,49727.00,10529282.00,-1,6
2020-10-07,193.00,211.00,190.00,211.00,9.90,82824.00,16835265.00,1,7
2020-10-06,191.00,193.00,190.00,192.00,2.13,30498.00,5823956.00,1,8
2020-10-05,191.00,193.00,187.00,188.00,-1.05,34163.00,6508275.00,-1,9
2020-10-04,193.00,196.00,187.00,190.00,0.00,37423.00,7116802.00,0,10
2020-10-01,183.00,192.00,183.00,190.00,4.97,35608.00,6680992.00,1,11
2020-09-30,170.00,188.00,170.00,181.00,1.69,30165.00,5524039.00,1,12
2020-09-29,177.00,180.00,177.00,178.00,-1.11,5575.00,999579.00,-1,13
2020-09-28,171.00,184.00,171.00,180.00,0.00,9440.00,1698021.00,0,14
2020-09-27,177.00,182.00,176.00,180.00,2.27,18494.00,3323821.00,1,15
2020-09-24,178.00,180.00,175.00,176.00,-1.12,11826.00,2091157.00,-1,16
2020-09-23,173.00,178.00,172.00,178.00,1.14,6029.00,1061927.00,1,17
2020-09-22,187.00,187.00,173.00,176.00,-1.68,7620.00,1338668.00,-1,18
2020-09-21,178.00,181.00,175.00,179.00,-1.10,8887.00,1594185.00,-1,19
2020-09-20,186.00,187.00,180.00,181.00,-1.09,12749.00,2337755.00,-1,20
2020-09-17,175.00,191.00,175.00,183.00,2.81,41804.00,7610702.00,1,21
2020-09-16,178.00,178.00,176.00,178.00,1.14,4419.00,783793.00,1,22
2020-09-15,176.00,181.00,175.00,176.00,-0.56,3590.00,635730.00,-1,23
2020-09-14,176.00,184.00,173.00,177.00,2.31,29483.00,5254616.00,1,24
2020-09-13,168.00,177.00,167.00,173.00,1.17,22694.00,3943661.00,1,25
2020-09-10,166.00,171.00,165.00,171.00,2.40,6581.00,1100860.00,1,26
2020-09-09,168.00,168.00,167.00,167.00,-0.60,499.00,83815.00,-1,27
2020-09-08,168.00,171.00,168.00,168.00,-1.18,3640.00,617925.00,-1,28
2020-09-07,169.00,170.00,169.00,170.00,0.00,1091.00,184464.00,0,29
2020-09-06,171.00,172.00,169.00,170.00,-0.58,2670.00,454077.00,-1,30
2020-09-03,171.00,174.00,169.00,171.00,-1.72,6679.00,1142122.00,-1,31
2020-09-02,172.00,174.00,169.00,174.00,2.35,11775.00,2021304.00,1,32
2020-08-31,170.00,179.00,170.00,170.00,0.59,14385.00,2492329.00,1,33
2020-08-30,168.00,172.00,167.00,169.00,1.81,22180.00,3743840.00,1,34
2020-08-27,168.00,168.00,166.00,166.00,-1.19,2771.00,463274.00,-1,35
2020-08-26,168.00,170.00,167.00,168.00,0.60,3460.00,584020.00,1,36
2020-08-25,169.00,169.00,166.00,167.00,0.60,7532.00,1263144.00,1,37
2020-08-24,168.00,168.00,165.00,166.00,0.61,3369.00,560251.00,1,38
2020-08-23,165.00,166.00,164.00,165.00,-0.60,4496.00,741608.00,-1,39
2020-08-20,164.00,166.00,164.00,166.00,0.61,4523.00,748564.00,1,40
2020-08-19,167.00,167.00,164.00,165.00,-0.60,7211.00,1189792.00,-1,41
2020-08-18,164.00,166.00,164.00,166.00,0.00,1763.00,291088.00,0,42
2020-08-17,164.00,166.00,163.00,166.00,1.22,7799.00,1289070.00,1,43
2020-08-16,163.00,164.00,160.00,164.00,-1.20,924.00,149253.00,-1,44
2020-08-13,166.00,169.00,164.00,166.00,0.00,9281.00,1530457.00,0,45
2020-08-12,167.00,169.00,166.00,166.00,-2.35,4931.00,827731.00,-1,46
2020-08-11,172.00,172.00,167.00,170.00,-0.58,5684.00,960940.00,-1,47
2020-08-10,163.00,171.00,163.00,171.00,4.91,11215.00,1871288.00,1,48
2020-08-09,167.00,167.00,161.00,163.00,-0.61,5043.00,820429.00,-1,49
2020-08-06,158.00,164.00,157.00,164.00,3.14,4391.00,704710.00,1,50
2020-08-05,161.00,161.00,157.00,159.00,-2.45,15262.00,2424009.00,-1,51
2020-08-03,165.00,165.00,160.00,163.00,0.00,12338.00,1993491.00,0,52
2020-08-02,168.00,168.00,162.00,163.00,-2.98,18843.00,3077914.00,-1,53
2020-07-30,166.00,169.00,165.00,168.00,0.60,16534.00,2749757.00,1,54
2020-07-29,169.00,175.00,165.00,167.00,-1.76,28193.00,4715076.00,-1,55
2020-07-28,175.00,178.00,170.00,170.00,-2.86,17903.00,3089119.00,-1,56
2020-07-27,180.00,181.00,175.00,175.00,-1.69,15104.00,2680066.00,-1,57
2020-07-26,185.00,191.00,178.00,178.00,-0.56,19014.00,3475964.00,-1,58
2020-07-23,179.00,179.00,175.00,179.00,-1.10,1338.00,238886.00,-1,59
2020-07-22,179.00,182.00,177.00,181.00,1.12,13416.00,2384337.00,1,60
2020-07-21,182.00,185.00,179.00,179.00,-1.65,4946.00,898954.00,-1,61
2020-07-20,189.00,193.00,181.00,182.00,-2.15,4298.00,809956.00,-1,62
2020-07-19,180.00,186.00,180.00,186.00,5.08,30.00,5490.00,1,63
2020-07-16,178.00,180.00,173.00,177.00,1.14,8161.00,1444633.00,1,64
2020-07-15,176.00,177.00,174.00,175.00,-2.23,4146.00,726789.00,-1,65
2020-07-14,175.00,179.00,174.00,179.00,1.13,1704.00,300624.00,1,66
2020-07-13,182.00,182.00,177.00,177.00,-1.67,3771.00,671353.00,-1,67
2020-07-12,188.00,188.00,180.00,180.00,-5.76,2646.00,487349.00,-1,68
2020-07-09,177.00,191.00,177.00,191.00,6.11,4109.00,751882.00,1,69
2020-07-08,172.00,180.00,168.00,180.00,5.88,8485.00,1459126.00,1,70
2020-07-07,162.00,170.00,162.00,170.00,6.92,982.00,162186.00,1,71
2020-07-06,158.00,160.00,156.00,159.00,-0.63,2147.00,339721.00,-1,72
2020-07-05,161.00,161.00,157.00,160.00,0.00,3502.00,559244.00,0,73
2020-07-02,161.00,163.00,160.00,160.00,-0.62,425.00,68654.00,-1,74
2020-06-29,160.00,160.00,160.00,161.00,-0.62,1120.00,181510.00,-1,75
2020-03-19,175.00,180.00,174.00,180.00,1.69,4819.00,851194.00,1,76
2020-03-18,177.00,180.00,174.00,177.00,0.00,5227.00,924743.00,0,77
