published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-03-17,176.00,176.00,161.00,166.00,-6.74,21328.00,3587079.00,-1,1
2019-03-14,162.00,178.00,159.00,178.00,9.88,14872.00,2549193.00,1,2
2019-03-13,162.00,162.00,162.00,162.00,-1.22,77.00,12474.00,-1,3
2019-03-12,158.00,164.00,158.00,164.00,5.81,552.00,88932.00,1,4
2019-03-10,161.00,161.00,155.00,155.00,-5.49,99.00,15735.00,-1,5
2019-03-07,161.00,164.00,161.00,164.00,3.80,410.00,66271.00,1,6
2019-03-06,158.00,161.00,158.00,158.00,1.94,1911.00,303327.00,1,7
2019-03-05,155.00,155.00,154.00,155.00,-1.27,580.00,89826.00,-1,8
2019-03-03,158.00,158.00,157.00,157.00,0.64,205.00,32265.00,1,9
2019-02-27,150.00,156.00,150.00,156.00,5.41,1947.00,303342.00,1,10
2019-02-25,148.00,148.00,148.00,148.00,-1.33,11.00,1628.00,-1,11
2019-02-24,153.00,153.00,150.00,150.00,0.00,410.00,61955.00,0,12
2019-02-21,150.00,150.00,150.00,150.00,1.35,11.00,1650.00,1,13
2019-02-19,148.00,148.00,148.00,148.00,-1.99,49.00,7252.00,-1,14
2019-02-18,154.00,157.00,151.00,151.00,-1.95,1295.00,198045.00,-1,15
2019-02-17,155.00,155.00,154.00,154.00,-1.28,91.00,14038.00,-1,16
2019-02-14,159.00,159.00,156.00,156.00,-0.64,423.00,66644.00,-1,17
2019-02-13,159.00,160.00,157.00,157.00,0.64,2422.00,383690.00,1,18
2019-02-12,156.00,156.00,156.00,156.00,0.00,197.00,30732.00,0,19
2019-02-11,156.00,156.00,156.00,156.00,0.65,1559.00,243204.00,1,20
2019-02-07,155.00,155.00,155.00,155.00,0.00,800.00,124000.00,0,21
2019-02-06,158.00,158.00,155.00,155.00,-3.13,41.00,6439.00,-1,22
2019-02-05,158.00,160.00,155.00,160.00,3.23,5878.00,939485.00,1,23
2019-02-04,155.00,155.00,155.00,155.00,-1.27,11.00,1705.00,-1,24
2019-02-03,157.00,157.00,157.00,157.00,1.95,69.00,10825.00,1,25
2019-01-31,159.00,159.00,154.00,154.00,-1.28,1000.00,154350.00,-1,26
2019-01-30,167.00,167.00,156.00,156.00,-4.88,1041.00,166266.00,-1,27
2019-01-28,159.00,164.00,159.00,164.00,3.80,332.00,53028.00,1,28
2019-01-27,157.00,159.00,157.00,158.00,-1.25,180.00,28510.00,-1,29
2019-01-24,156.00,160.00,156.00,160.00,3.23,251.00,39978.00,1,30
2019-01-23,157.00,158.00,155.00,155.00,-3.13,1750.00,271850.00,-1,31
2019-01-21,160.00,160.00,160.00,160.00,0.00,350.00,56000.00,0,32
2019-01-20,160.00,160.00,160.00,160.00,-1.23,10.00,1600.00,-1,33
2019-01-16,159.00,162.00,159.00,162.00,3.85,343.00,54625.00,1,34
2019-01-15,156.00,156.00,156.00,156.00,1.96,550.00,85800.00,1,35
2019-01-14,155.00,155.00,153.00,153.00,-1.29,172.00,26632.00,-1,36
2019-01-13,150.00,155.00,150.00,155.00,2.65,2481.00,377626.00,1,37
2019-01-10,150.00,152.00,150.00,151.00,0.67,220.00,33300.00,1,38
2019-01-08,148.00,150.00,148.00,150.00,2.74,41.00,6126.00,1,39
2019-01-07,147.00,147.00,146.00,146.00,-0.68,425.00,62350.00,-1,40
2019-01-06,147.00,148.00,147.00,147.00,-0.68,1289.00,190683.00,-1,41
2019-01-03,148.00,148.00,148.00,148.00,-0.67,49.00,7252.00,-1,42
2019-01-02,150.00,150.00,149.00,149.00,-1.32,1635.00,244620.00,-1,43
2019-01-01,151.00,151.00,151.00,151.00,-1.31,90.00,13590.00,-1,44
2018-12-31,156.00,156.00,153.00,153.00,-3.77,598.00,92994.00,-1,45
2018-12-27,156.00,162.00,156.00,159.00,2.58,605.00,96966.00,1,46
2018-12-26,155.00,155.00,155.00,155.00,1.97,252.00,39060.00,1,47
2018-12-25,152.00,152.00,152.00,152.00,-1.30,200.00,30400.00,-1,48
2018-12-24,153.00,154.00,152.00,154.00,1.32,677.00,103604.00,1,49
2018-12-23,154.00,154.00,152.00,152.00,0.00,896.00,137792.00,0,50
2018-12-20,152.00,152.00,152.00,152.00,1.33,50.00,7600.00,1,51
2018-12-18,150.00,151.00,150.00,150.00,-0.66,1144.00,172114.00,-1,52
2018-12-17,154.00,155.00,151.00,151.00,-0.66,360.00,55080.00,-1,53
2018-12-16,153.00,153.00,152.00,152.00,0.00,450.00,68650.00,0,54
2018-12-12,152.00,152.00,152.00,152.00,-1.94,1000.00,152000.00,-1,55
2018-12-10,155.00,155.00,155.00,155.00,-11.93,100.00,15500.00,-1,56
2018-12-09,174.00,178.00,174.00,176.00,0.57,350.00,61655.00,1,57
2018-12-06,173.00,175.00,172.00,175.00,0.57,570.00,99010.00,1,58
2018-12-05,173.00,174.00,170.00,174.00,2.35,1461.00,252170.00,1,59
2018-12-04,168.00,170.00,167.00,170.00,1.80,110.00,18410.00,1,60
2018-12-03,172.00,172.00,167.00,167.00,-1.76,1538.00,259676.00,-1,61
2018-12-02,168.00,171.00,167.00,170.00,3.03,437.00,74001.00,1,62
2018-11-29,165.00,167.00,164.00,165.00,-0.60,871.00,144121.00,-1,63
2018-11-28,166.00,166.00,166.00,166.00,1.84,15.00,2490.00,1,64
2018-11-27,168.00,168.00,163.00,163.00,-2.98,506.00,83437.00,-1,65
2018-11-26,167.00,170.00,167.00,168.00,-1.18,1580.00,267925.00,-1,66
2018-11-25,172.00,173.00,170.00,170.00,-2.86,321.00,54655.00,-1,67
