published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-11,722.00,722.00,686.00,708.84,-0.01,4352.00,3035834.20,-1,1
2025-06-10,715.0,724.9,698.0,708.93,0.5,2586.0,1846415.0,1,1
2025-06-09,683.2,716.0,683.2,705.37,1.97,1760.0,1243188.5,1,1
2025-06-08,675.1,700.0,675.1,691.73,1.21,2165.0,1483964.3,1,1
2025-06-05,693.0,706.6,678.0,683.45,-1.43,4291.0,2951080.5,-1,1
2025-06-04,700.0,710.0,688.0,693.33,-0.5,489.0,338342.0,-1,1
2025-06-03,690.0,725.0,690.0,696.8,-0.73,1793.0,1272796.9,-1,2
2025-06-02,695.0,708.9,682.2,701.9,1.8,4386.0,3064178.5,1,1
2025-05-28,712.9,735.0,687.0,689.48,-1.54,2873.0,2008673.7,-1,1
2025-05-27,702.0,705.0,699.0,700.29,-0.2,1084.0,759247.6,-1,2
2025-05-26,713.9,720.0,700.0,701.66,0.24,1040.0,732880.9,1,1
2025-05-25,702.0,728.7,697.0,699.98,-0.07,8370.0,5862178.0,-1,2
2025-05-22,712.0,725.0,700.0,700.5,-3.38,3399.0,2405810.8,-1,3
2025-05-21,729.0,743.0,721.1,725.0,1.44,3483.0,2533547.0,1,4
2025-05-20,702.0,716.0,702.0,714.72,1.78,1534.0,1092934.0,1,5
2025-05-19,701.1,716.0,700.0,702.21,-1.63,5032.0,3537279.1,-1,6
2025-05-18,721.0,732.0,710.0,713.86,-0.66,2389.0,1709516.0,-1,7
2025-05-15,725.1,738.0,711.0,718.62,-0.83,2892.0,2088674.2,-1,8
2025-05-14,743.0,757.5,720.0,724.65,-2.41,3091.0,2268897.2,-1,9
2025-05-13,736.2,753.7,736.2,742.56,-0.92,4073.0,3032642.7,-1,10
2025-05-11,750.0,765.0,740.0,749.48,-0.2,3743.0,2798343.0,-1,11
2025-05-08,760.0,785.0,745.0,750.97,-1.43,5357.0,4079609.3,-1,12
2025-05-07,760.0,785.0,748.1,761.89,-1.71,3584.0,2736289.9,-1,13
2025-05-06,786.0,786.0,762.0,775.17,0.12,3356.0,2604748.3,1,14
2025-05-05,735.0,780.1,735.0,774.21,3.24,9578.0,7328007.2,1,15
2025-05-04,745.0,788.0,735.1,749.93,1.29,5070.0,3836239.0,1,16
2025-04-30,751.0,751.0,730.0,740.36,0.55,3641.0,2694525.0,1,17
2025-04-29,743.0,750.0,714.0,736.31,-1.81,5837.0,4296868.2,-1,18
2025-04-28,770.0,770.0,745.0,749.91,-0.66,3363.0,2534338.6,-1,19
2025-04-27,748.0,778.1,745.0,754.92,-0.95,5595.0,4254562.4,-1,20
2025-04-24,760.0,790.9,760.0,762.19,-1.71,3416.0,2632422.0,-1,21
2025-04-23,782.5,782.5,770.0,775.44,-1.88,4954.0,3849542.1,-1,22
2025-04-22,799.9,810.0,783.0,790.3,0.33,3877.0,3068000.7,1,23
2025-04-21,781.1,800.0,781.1,787.71,-0.7,1470.0,1163632.5,-1,24
