published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-09,449.70,467.10,434.70,444.80,0.88,6820.00,3006809.40,1,1
2025-10-08,447.0,447.2,425.4,440.9,-3.31,5374.0,2335304.3,-1,1
2025-10-07,473.9,474.0,442.2,456.0,-1.91,10539.0,4739433.4,-1,1
2025-09-28,474.0,474.0,456.1,464.9,-0.87,1061.0,488236.1,-1,1
2025-09-25,475.0,479.0,443.1,469.0,-0.19,4611.0,2159929.4,-1,1
2025-09-24,450.0,472.0,448.8,469.9,3.39,9467.0,4359432.5,1,1
2025-09-23,456.9,458.0,448.0,454.5,1.34,6947.0,3139388.4,1,1
2025-09-21,431.2,461.7,428.0,448.5,2.79,11788.0,5224837.3,1,1
2025-09-08,436.7,445.0,436.0,436.33,-1.07,4646.0,2041723.8,-1,1
2025-09-07,445.1,445.1,440.0,441.04,-2.02,10073.0,4456202.9,-1,1
2025-09-04,451.0,459.0,445.1,450.15,-1.46,10245.0,4594881.1,-1,1
2025-09-03,460.1,467.0,455.2,456.82,-1.5,7487.0,3436562.0,-1,1
2025-09-02,465.1,470.0,461.0,463.77,-0.43,5190.0,2413013.4,-1,1
2025-09-01,469.0,470.0,465.0,465.75,-0.58,8272.0,3854185.1,-1,1
2025-08-31,475.0,475.0,466.4,468.49,-1.2,9503.0,4461075.9,-1,1
2025-08-28,484.0,484.0,470.1,474.18,-0.33,6792.0,3228469.1,-1,1
2025-08-27,471.2,481.9,471.2,475.77,0.09,5855.0,2796467.3,1,1
2025-08-26,474.0,478.9,471.0,475.36,-0.19,643.0,304854.0,-1,1
2025-08-25,473.0,478.0,468.2,476.25,0.26,3692.0,1744315.3,1,1
2025-08-24,477.0,479.5,473.1,475.0,-0.6,3464.0,1648620.1,-1,1
2025-08-21,480.2,485.0,476.7,477.88,-0.76,6044.0,2893730.9,-1,1
2025-08-20,480.0,487.8,479.0,481.55,-0.84,3451.0,1667604.3,-1,1
2025-08-19,480.2,490.0,480.2,485.61,-0.67,5456.0,2656548.5,-1,1
2025-08-18,477.1,489.9,476.2,488.87,2.16,9793.0,4735086.7,1,1
2025-08-17,475.0,484.9,473.0,478.54,-0.85,9064.0,4336077.4,-1,1
2025-08-14,490.0,490.0,479.0,482.63,0.12,8062.0,3879046.6,1,1
2025-08-13,484.0,492.0,477.0,482.04,-0.26,7399.0,3581783.5,-1,1
2025-08-12,471.5,500.3,471.5,483.28,0.46,5712.0,2766138.1,1,1
2025-08-11,488.0,490.0,478.5,481.06,-1.1,4970.0,2401316.3,-1,1
2025-08-07,474.1,504.0,474.1,486.4,0.56,11792.0,5728354.2,1,1
2025-08-06,483.0,488.0,479.0,483.71,0.22,5548.0,2674531.5,1,1
2025-08-05,485.0,490.0,480.0,482.67,-0.86,12505.0,6053407.7,-1,1
2025-08-04,486.0,494.5,482.3,486.85,0.28,10000.0,4859339.9,1,1
2025-08-03,490.0,495.1,485.0,485.49,-0.92,10252.0,4992062.9,-1,1
2025-07-31,493.0,498.0,488.1,490.02,-1.59,14583.0,7184656.8,-1,1
2025-07-30,515.9,515.9,495.0,497.96,-1.59,16535.0,8303058.6,-1,1
2025-07-29,509.3,520.0,505.0,506.0,-0.43,18043.0,9231151.8,-1,1
2025-07-28,520.0,520.0,500.0,505.42,-2.04,19264.0,9736417.8,-1,1
2025-07-27,532.9,532.9,511.0,515.95,-1.4,48196.0,25164708.3,-1,1
2025-07-24,518.0,528.0,501.1,523.26,3.02,38878.0,20119872.5,1,1
2025-07-23,523.3,523.3,503.0,507.91,-1.01,18361.0,9390379.6,-1,1
2025-07-22,505.0,517.0,497.0,513.07,2.71,32789.0,16596740.1,1,1
2025-07-21,493.2,503.0,491.0,499.52,1.19,9249.0,4600685.3,1,1
2025-07-20,512.5,512.5,491.0,493.64,-2.35,22850.0,11497160.7,-1,1
2025-07-17,504.0,509.7,493.0,505.53,2.0,18614.0,9329183.0,1,1
2025-07-16,477.2,504.9,477.2,495.64,3.23,12751.0,6249186.7,1,1
2025-07-15,469.0,489.9,469.0,480.13,0.48,12216.0,5871924.0,1,1
2025-07-14,478.0,487.5,477.0,477.86,-0.63,13231.0,6340001.4,-1,1
2025-07-13,494.1,494.1,477.0,480.91,-0.74,14404.0,6977498.3,-1,1
2025-07-10,495.6,495.6,483.5,484.49,-0.6,16336.0,7990516.3,-1,1
2025-07-09,494.0,494.0,486.1,487.43,0.1,11829.0,5780383.1,1,1
2025-07-08,490.2,497.0,480.4,486.96,-1.84,24043.0,11710624.8,-1,1
2025-07-07,501.5,505.7,494.0,496.09,-1.91,12654.0,6316720.7,-1,1
2025-07-06,512.1,515.0,500.0,505.75,-2.25,19717.0,9995960.2,-1,1
2025-07-03,535.9,535.9,514.0,517.38,-2.21,24163.0,12612992.0,-1,1
2025-07-02,516.0,534.0,510.4,529.07,2.46,44590.0,23401026.8,1,1
2025-07-01,513.1,527.0,513.1,516.37,-0.92,15260.0,7881159.1,-1,1
2025-06-30,527.7,545.0,511.0,521.18,-3.2,59468.0,31090005.3,-1,1
2025-06-29,500.0,541.0,500.0,538.39,5.92,96311.0,51447358.6,1,1
2025-06-26,504.0,514.0,496.1,508.29,0.74,24853.0,12627630.5,1,1
2025-06-25,478.2,509.9,476.1,504.57,7.62,51237.0,25407148.9,1,1
2025-06-24,489.9,489.9,466.0,468.85,-2.81,27491.0,12988178.4,-1,1
2025-06-23,485.6,485.6,466.7,482.39,1.26,8354.0,3984432.5,1,1
2025-06-22,500.0,500.0,471.8,476.39,-2.92,5773.0,2777143.5,-1,1
2025-06-19,490.0,507.0,481.0,490.74,0.1,15935.0,7805670.7,1,1
