published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-01,583.00,591.50,579.00,589.82,2.41,17475.00,10238042.00,1,1
2025-06-30,580.0,580.0,574.1,575.95,0.34,43499.0,25054513.5,1,1
2025-06-29,577.0,580.0,570.6,573.99,-0.35,20872.0,11969380.7,-1,1
2025-06-26,580.0,587.0,575.0,575.99,-0.06,11331.0,6529500.0,-1,1
2025-06-25,576.0,578.8,572.5,576.34,0.21,6219.0,3583119.1,1,1
2025-06-24,577.2,584.9,575.0,575.15,0.19,12011.0,6948957.5,1,1
2025-06-23,585.0,585.0,572.3,574.04,-0.1,14306.0,8241545.4,-1,1
2025-06-22,589.0,589.0,572.0,574.59,-0.77,7713.0,4440228.0,-1,1
2025-06-19,581.0,585.8,574.0,579.03,1.43,51008.0,29615438.4,1,1
2025-06-18,576.25,579.8,570.0,570.86,-0.94,10467.0,6002293.5,-1,1
2025-06-17,576.14,580.9,568.0,576.25,0.02,5745.0,3302945.9,1,1
2025-06-16,572.2,580.0,569.5,576.14,0.69,13529.0,7790003.7,1,1
2025-06-15,572.0,577.0,569.0,572.2,-0.05,8987.0,5146156.4,-1,1
2025-06-12,579.1,580.0,572.0,572.49,-1.05,9211.0,5292266.8,-1,1
2025-06-11,570.0,585.0,570.0,578.58,0.04,12060.0,6981702.6,1,1
2025-06-10,584.0,584.0,573.5,578.34,0.96,8668.0,5003386.0,1,1
2025-06-09,570.0,583.6,565.0,572.84,0.12,15617.0,8917172.5,1,1
2025-06-08,575.0,583.9,572.0,572.17,-1.44,11362.0,6532633.4,-1,1
2025-06-05,586.0,590.0,580.0,580.51,-1.6,19386.0,11285325.7,-1,1
2025-06-04,590.5,593.5,586.4,589.93,-0.42,10620.0,6255310.6,-1,1
2025-06-03,603.0,603.0,592.0,592.41,-0.87,9631.0,5710457.2,-1,2
2025-06-02,608.1,608.1,592.1,597.61,0.23,7061.0,4238582.0,1,1
2025-05-28,608.0,609.0,588.0,596.22,-0.15,18537.0,11005209.5,-1,1
2025-05-27,596.0,600.0,590.1,597.13,-0.17,9723.0,5800881.8,-1,2
2025-05-26,600.0,611.0,595.6,598.16,-0.24,15443.0,9290896.6,-1,1
2025-05-25,602.24,614.0,598.0,599.61,-0.44,17170.0,10386089.7,-1,2
2025-05-22,615.49,620.0,597.8,602.24,-2.15,25931.0,15688408.5,-1,3
2025-05-21,631.7,644.4,611.0,615.49,-0.64,19292.0,11995172.2,-1,4
2025-05-20,607.0,621.0,591.0,619.43,3.46,85220.0,51390404.7,1,5
2025-05-19,602.2,614.2,593.4,598.69,1.4,30323.0,18142311.5,1,6
2025-05-18,602.2,624.4,590.0,590.4,-0.01,6660.0,3949743.2,-1,7
2025-05-15,600.0,600.0,590.0,590.43,-1.6,10339.0,6120610.4,-1,8
2025-05-14,605.56,612.0,589.0,600.0,-0.92,22466.0,13409786.4,-1,9
2025-05-13,612.54,619.0,605.0,605.56,-1.14,6798.0,4141735.1,-1,10
2025-05-11,620.0,627.0,608.0,612.54,-1.05,13359.0,8243420.1,-1,11
2025-05-08,620.0,629.0,618.1,619.04,-1.22,12078.0,7504946.3,-1,12
2025-05-07,601.0,640.0,601.0,626.66,3.59,8803.0,5434092.3,1,13
2025-05-06,603.0,608.0,602.0,604.96,0.06,6217.0,3767327.3,1,14
2025-05-05,609.18,610.0,602.0,604.62,-0.75,7303.0,4420241.4,-1,15
2025-05-04,613.31,617.0,607.0,609.18,-0.67,8471.0,5171499.5,-1,16
2025-04-30,620.0,629.0,613.0,613.31,-0.93,7252.0,4471740.8,-1,17
2025-04-29,622.0,624.0,619.0,619.06,-0.96,7105.0,4409391.1,-1,18
2025-04-28,627.54,635.0,625.0,625.08,-0.39,6946.0,4346669.1,-1,19
2025-04-27,625.0,643.6,625.0,627.54,-1.17,7460.0,4697272.2,-1,20
2025-04-24,630.52,638.0,623.0,635.0,0.71,9588.0,6016794.1,1,21
2025-04-23,645.0,645.0,630.0,630.52,-2.03,10121.0,6394336.7,-1,22
2025-04-22,652.0,652.0,642.0,643.56,-1.43,5320.0,3426407.9,-1,23
2025-04-21,637.07,659.0,630.0,652.92,2.49,28142.0,18086689.6,1,24
2025-04-20,645.0,648.0,635.0,637.07,-1.14,11236.0,7201432.0,-1,25
2025-04-17,640.0,647.0,634.0,644.39,1.11,8980.0,5774729.5,1,26
2025-04-16,638.0,641.0,634.0,637.33,0.42,11402.0,7259393.7,1,27
2025-04-15,632.0,642.0,630.0,634.66,0.71,7602.0,4818839.5,1,28
2025-04-13,631.07,635.0,625.2,630.21,-0.14,9034.0,5677446.9,-1,29
2025-04-10,633.01,642.9,629.0,631.07,-0.31,7890.0,4979519.6,-1,30
2025-04-09,632.0,639.0,631.2,633.01,0.33,7771.0,4925550.9,1,31
2025-04-08,630.0,640.0,628.0,630.93,-1.41,14237.0,8991286.2,-1,32
2025-04-07,640.0,648.0,633.0,639.97,0.23,12541.0,7996923.2,1,33
2025-04-03,652.0,665.0,638.0,638.48,-0.15,10197.0,6548875.0,-1,34
2025-04-02,644.7,670.0,638.1,639.43,-0.82,17248.0,11124884.9,-1,35
2025-04-01,643.0,645.0,638.0,644.7,0.14,15146.0,9706427.8,1,36
2025-03-30,648.0,665.9,640.0,643.83,0.41,29462.0,19222833.9,1,37
2025-03-27,625.0,650.0,625.0,641.23,0.74,13503.0,8664438.3,1,38
2025-03-26,626.0,640.0,626.0,636.51,1.68,18538.0,11799735.7,1,39
2025-03-25,645.0,645.0,625.0,625.97,-3.4,22063.0,13920716.1,-1,40
2025-03-24,631.3,650.0,631.2,648.01,1.38,14181.0,9114169.0,1,41
2025-03-23,647.2,660.0,639.0,639.18,-2.87,16709.0,10764785.1,-1,42
2025-03-20,664.9,664.9,656.0,658.09,-1.02,12043.0,7942569.8,-1,43
2025-03-19,669.9,670.0,657.1,664.9,-0.46,15648.0,10353479.5,-1,44
2025-03-18,668.0,673.0,660.3,668.0,0.59,11141.0,7411743.8,1,45
2025-03-17,661.0,672.0,660.0,664.1,0.47,11685.0,7771246.3,1,46
2025-03-16,658.7,671.8,658.7,661.0,-1.2,13052.0,8637668.4,-1,47
