published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-04-12,86.00,85.00,85.00,85.00,0.00,20.00,1700.00,0,1
2012-04-11,85.00,86.00,86.00,86.00,0.00,120.00,10320.00,0,2
2012-04-09,84.00,85.00,85.00,85.00,0.00,132.00,11220.00,0,3
2012-04-08,83.00,84.00,84.00,84.00,0.00,100.00,8400.00,0,4
2012-04-05,84.00,84.00,83.00,83.00,0.00,330.00,27410.00,0,5
2012-04-04,84.00,85.00,84.00,84.00,0.00,80.00,6750.00,0,6
2012-04-03,83.00,84.00,84.00,84.00,0.00,600.00,50400.00,0,7
2012-04-02,82.00,83.00,83.00,83.00,0.00,10.00,830.00,0,8
2012-04-01,81.00,82.00,81.00,82.00,0.00,50.00,4060.00,0,9
2012-03-29,82.00,81.00,81.00,81.00,0.00,20.00,1620.00,0,10
2012-03-28,81.00,82.00,82.00,82.00,0.00,10.00,820.00,0,11
2012-03-27,80.00,81.00,81.00,81.00,0.00,10.00,810.00,0,12
2012-03-26,81.00,80.00,80.00,80.00,0.00,10.00,800.00,0,13
2012-03-25,82.00,81.00,81.00,81.00,0.00,52.00,4212.00,0,14
2012-03-21,82.00,82.00,82.00,82.00,0.00,180.00,14760.00,0,15
2012-03-20,84.00,84.00,82.00,82.00,0.00,190.00,15790.00,0,16
2012-03-19,85.00,84.00,84.00,84.00,0.00,30.00,2520.00,0,17
2012-03-18,84.00,85.00,85.00,85.00,0.00,20.00,1700.00,0,18
2012-03-14,83.00,84.00,84.00,84.00,0.00,80.00,6720.00,0,19
2012-03-13,84.00,83.00,83.00,83.00,0.00,20.00,1660.00,0,20
2012-03-12,85.00,85.00,84.00,84.00,0.00,40.00,3380.00,0,21
2012-03-05,87.00,86.00,85.00,85.00,0.00,20.00,1710.00,0,22
2012-03-04,88.00,87.00,87.00,87.00,0.00,100.00,8700.00,0,23
2012-03-01,89.00,88.00,87.00,88.00,0.00,1110.00,97220.00,0,24
2012-02-29,94.00,93.00,89.00,89.00,0.00,600.00,54470.00,0,25
2012-02-28,92.00,94.00,93.00,94.00,0.00,160.00,15010.00,0,26
2012-02-27,90.00,92.00,91.00,92.00,0.00,90.00,8210.00,0,27
2012-02-26,88.00,90.00,88.00,90.00,0.00,90.00,8000.00,0,28
2012-02-23,87.00,88.00,88.00,88.00,0.00,50.00,4400.00,0,29
2012-02-16,88.00,87.00,87.00,87.00,0.00,80.00,6960.00,0,30
2012-02-14,86.00,88.00,86.00,88.00,0.00,260.00,22660.00,0,31
2012-02-13,81.00,87.00,82.00,86.00,0.00,280.00,23750.00,0,32
2012-02-12,79.00,81.00,80.00,81.00,0.00,260.00,21040.00,0,33
2012-02-09,78.00,79.00,79.00,79.00,0.00,100.00,7900.00,0,34
2012-02-08,74.00,78.00,75.00,78.00,0.00,570.00,44040.00,0,35
2012-02-07,73.00,74.00,73.00,74.00,0.00,180.00,13300.00,0,36
2012-02-06,74.00,73.00,73.00,73.00,0.00,30.00,2190.00,0,37
2012-02-02,73.00,75.00,73.00,74.00,0.00,240.00,17780.00,0,38
2012-02-01,71.00,73.00,72.00,73.00,0.00,50.00,3630.00,0,39
2012-01-29,69.00,71.00,70.00,71.00,0.00,150.00,10630.00,0,40
2012-01-26,68.00,69.00,67.00,69.00,0.00,140.00,9500.00,0,41
2012-01-23,68.00,68.00,68.00,68.00,0.00,20.00,1360.00,0,42
2012-01-22,70.00,70.00,68.00,68.00,0.00,120.00,8290.00,0,43
2012-01-18,69.00,70.00,70.00,70.00,0.00,60.00,4200.00,0,44
2012-01-12,69.00,69.00,68.00,69.00,0.00,30.00,2050.00,0,45
2012-01-11,66.00,69.00,67.00,69.00,0.00,410.00,27960.00,0,46
2012-01-10,67.00,67.00,66.00,66.00,0.00,50.00,3330.00,0,47
2012-01-09,67.00,68.00,68.00,68.00,0.00,50.00,3400.00,0,48
2012-01-05,68.00,67.00,67.00,67.00,0.00,10.00,670.00,0,49
2012-01-04,68.00,68.00,68.00,68.00,0.00,50.00,3400.00,0,50
2012-01-03,68.00,68.00,67.00,68.00,0.00,70.00,4730.00,0,51
2012-01-02,68.00,68.00,68.00,68.00,0.00,20.00,1360.00,0,52
2012-01-01,68.00,69.00,68.00,68.00,0.00,150.00,10220.00,0,53
2011-12-28,69.00,68.00,68.00,68.00,0.00,10.00,680.00,0,54
2011-12-27,70.00,69.00,69.00,69.00,0.00,20.00,1380.00,0,55
2011-12-22,70.00,70.00,69.00,70.00,0.00,40.00,2790.00,0,56
2011-12-21,71.00,70.00,70.00,70.00,0.00,10.00,700.00,0,57
2011-12-20,71.00,71.00,70.00,71.00,0.00,380.00,26870.00,0,58
2011-12-19,70.00,72.00,70.00,71.00,0.00,140.00,9940.00,0,59
2011-12-18,73.00,72.00,70.00,70.00,0.00,70.00,4960.00,0,60
2011-12-15,76.00,75.00,73.00,73.00,0.00,190.00,14060.00,0,61
2011-12-14,78.00,77.00,76.00,76.00,0.00,20.00,1530.00,0,62
2011-12-11,78.00,78.00,78.00,78.00,0.00,80.00,6240.00,0,63
2011-12-07,78.00,78.00,78.00,78.00,0.00,10.00,780.00,0,64
2011-11-28,77.00,77.00,76.00,77.00,0.00,170.00,13030.00,0,65
2011-11-27,78.00,77.00,77.00,77.00,0.00,10.00,770.00,0,66
2011-11-23,80.00,81.00,78.00,78.00,0.00,200.00,15930.00,0,67
2011-11-22,79.00,80.00,80.00,80.00,0.00,60.00,4800.00,0,68
2011-11-21,80.00,79.00,79.00,79.00,0.00,10.00,790.00,0,69
2011-11-16,81.00,80.00,80.00,80.00,0.00,20.00,1600.00,0,70
2011-11-15,79.00,81.00,80.00,81.00,0.00,40.00,3220.00,0,71
2011-11-14,78.00,79.00,79.00,79.00,0.00,70.00,5530.00,0,72
2011-11-13,80.00,80.00,78.00,78.00,0.00,160.00,12700.00,0,73
2011-11-09,80.00,80.00,80.00,80.00,0.00,10.00,800.00,0,74
2011-10-30,79.00,80.00,79.00,80.00,0.00,430.00,34280.00,0,75
2011-10-23,80.00,80.00,79.00,79.00,0.00,50.00,3970.00,0,76
2011-10-17,80.00,81.00,80.00,80.00,0.00,80.00,6440.00,0,77
2011-10-13,80.00,81.00,80.00,80.00,0.00,40.00,3230.00,0,78
2011-10-10,80.00,80.00,80.00,80.00,0.00,30.00,2400.00,0,79
2011-10-09,83.00,82.00,80.00,80.00,0.00,530.00,42750.00,0,80
2011-10-02,84.00,84.00,83.00,83.00,0.00,210.00,17440.00,0,81
2011-09-29,85.00,84.00,84.00,84.00,0.00,20.00,1680.00,0,82
2011-09-25,85.00,85.00,85.00,85.00,0.00,30.00,2550.00,0,83
2011-09-22,84.00,85.00,85.00,85.00,0.00,30.00,2550.00,0,84
2011-09-21,84.00,84.00,84.00,84.00,0.00,70.00,5880.00,0,85
2011-09-19,83.00,84.00,84.00,84.00,0.00,40.00,3360.00,0,86
2011-09-18,84.00,83.00,83.00,83.00,0.00,20.00,1660.00,0,87
2011-09-15,85.00,84.00,84.00,84.00,0.00,50.00,4200.00,0,88
2011-09-14,86.00,86.00,85.00,85.00,0.00,110.00,9450.00,0,89
2011-09-12,89.00,90.00,86.00,86.00,0.00,260.00,23060.00,0,90
2011-09-08,93.00,92.00,89.00,89.00,0.00,90.00,8180.00,0,91
2011-09-07,95.00,95.00,93.00,93.00,0.00,40.00,3750.00,0,92
2011-09-06,96.00,95.00,95.00,95.00,0.00,20.00,1900.00,0,93
2011-09-05,95.00,96.00,95.00,96.00,0.00,170.00,16240.00,0,94
2011-09-04,95.00,95.00,95.00,95.00,0.00,20.00,1900.00,0,95
2011-09-01,95.00,95.00,95.00,95.00,0.00,10.00,950.00,0,96
2011-08-28,95.00,95.00,94.00,95.00,0.00,30.00,2830.00,0,97
2011-08-24,96.00,96.00,95.00,95.00,0.00,150.00,14310.00,0,98
2011-08-23,96.00,96.00,96.00,96.00,0.00,90.00,8640.00,0,99
2011-08-22,98.00,97.00,96.00,96.00,0.00,40.00,3860.00,0,100
2011-08-18,98.00,98.00,98.00,98.00,0.00,10.00,980.00,0,101
2011-08-16,97.00,98.00,98.00,98.00,0.00,30.00,2940.00,0,102
2011-08-15,98.00,97.00,97.00,97.00,0.00,10.00,970.00,0,103
2011-08-08,100.00,98.00,98.00,98.00,0.00,10.00,980.00,0,104
2011-08-07,100.00,100.00,100.00,100.00,0.00,40.00,4000.00,0,105
2011-08-04,100.00,102.00,100.00,100.00,0.00,520.00,52300.00,0,106
2011-08-03,100.00,102.00,100.00,100.00,0.00,790.00,79770.00,0,107
2011-08-02,93.00,100.00,94.00,100.00,0.00,140.00,13630.00,0,108
2011-07-31,88.00,93.00,89.00,93.00,0.00,110.00,10070.00,0,109
2011-07-28,87.00,88.00,88.00,88.00,0.00,10.00,880.00,0,110
2011-07-27,86.00,87.00,87.00,87.00,0.00,100.00,8700.00,0,111
2011-07-25,86.00,86.00,85.00,86.00,0.00,90.00,7710.00,0,112
2011-07-24,84.00,86.00,84.00,86.00,0.00,140.00,11800.00,0,113
2011-07-21,82.00,84.00,82.00,84.00,0.00,350.00,28750.00,0,114
2011-07-20,81.00,82.00,81.00,82.00,0.00,80.00,6500.00,0,115
2011-07-19,82.00,81.00,81.00,81.00,0.00,10.00,810.00,0,116
2011-07-14,81.00,82.00,80.00,82.00,0.00,410.00,32880.00,0,117
2011-07-13,82.00,81.00,81.00,81.00,0.00,130.00,10530.00,0,118
2011-07-07,81.00,82.00,81.00,82.00,0.00,970.00,78660.00,0,119
2011-07-06,81.00,82.00,81.00,81.00,0.00,70.00,5720.00,0,120
2011-07-05,82.00,81.00,81.00,81.00,0.00,60.00,4860.00,0,121
2011-07-04,84.00,84.00,82.00,82.00,0.00,100.00,8240.00,0,122
2011-07-03,85.00,84.00,83.00,84.00,0.00,400.00,33580.00,0,123
2011-06-29,86.00,85.00,85.00,85.00,0.00,10.00,850.00,0,124
2011-06-27,90.00,86.00,86.00,86.00,0.00,10.00,860.00,0,125
2011-06-20,88.00,88.00,88.00,88.00,0.00,70.00,6160.00,0,126
2011-06-19,88.00,88.00,88.00,88.00,0.00,70.00,6160.00,0,127
2011-06-16,88.00,88.00,88.00,88.00,0.00,20.00,1760.00,0,128
2011-06-15,89.00,89.00,87.00,88.00,0.00,230.00,20160.00,0,129
2011-06-14,93.00,92.00,89.00,89.00,0.00,320.00,28780.00,0,130
2011-06-13,97.00,96.00,93.00,93.00,0.00,200.00,18900.00,0,131
2011-06-12,98.00,98.00,97.00,97.00,0.00,70.00,6800.00,0,132
2011-06-09,99.00,98.00,98.00,98.00,0.00,20.00,1960.00,0,133
2011-06-08,98.00,99.00,99.00,99.00,0.00,10.00,990.00,0,134
2011-06-06,100.00,99.00,98.00,98.00,0.00,20.00,1970.00,0,135
2011-06-05,98.00,100.00,98.00,100.00,0.00,330.00,32660.00,0,136
2011-06-02,96.00,98.00,95.00,98.00,0.00,140.00,13560.00,0,137
2011-06-01,97.00,96.00,96.00,96.00,0.00,10.00,960.00,0,138
