published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-03-21,173.00,176.00,176.00,176.00,0.00,100.00,17600.00,0,1
2017-03-19,175.00,173.00,173.00,173.00,0.00,200.00,34600.00,0,2
2017-03-16,176.00,175.00,175.00,175.00,0.00,59.00,10325.00,0,3
2017-03-05,173.00,176.00,176.00,176.00,0.00,30.00,5280.00,0,4
2017-03-01,173.00,173.00,173.00,173.00,0.00,3572.00,617956.00,0,5
2017-02-14,173.00,173.00,173.00,173.00,0.00,79.00,13667.00,0,6
2017-02-13,176.00,173.00,173.00,173.00,0.00,223.00,38579.00,0,7
2017-02-09,175.00,181.00,176.00,176.00,0.00,659.00,117974.00,0,8
2017-02-07,179.00,179.00,175.00,175.00,0.00,466.00,82076.00,0,9
2017-01-31,176.00,179.00,176.00,179.00,0.00,5219.00,932434.00,0,10
2017-01-30,179.00,176.00,176.00,176.00,0.00,900.00,158400.00,0,11
2017-01-26,173.00,179.00,173.00,179.00,0.00,1110.00,195390.00,0,12
2017-01-24,170.00,173.00,173.00,173.00,0.00,100.00,17300.00,0,13
2017-01-22,170.00,170.00,170.00,170.00,0.00,177.00,30090.00,0,14
2017-01-17,172.00,170.00,170.00,170.00,0.00,555.00,94350.00,0,15
2017-01-16,175.00,172.00,172.00,172.00,0.00,59.00,10148.00,0,16
2017-01-15,174.00,175.00,175.00,175.00,0.00,30.00,5250.00,0,17
2017-01-11,175.00,177.00,174.00,174.00,0.00,348.00,60696.00,0,18
2017-01-08,174.00,175.00,174.00,175.00,0.00,114.00,19926.00,0,19
2017-01-03,177.00,174.00,174.00,174.00,0.00,230.00,40020.00,0,20
2017-01-02,180.00,177.00,177.00,177.00,0.00,149.00,26373.00,0,21
2017-01-01,177.00,180.00,180.00,180.00,0.00,207.00,37260.00,0,22
2016-12-28,186.00,183.00,177.00,177.00,0.00,405.00,72735.00,0,23
2016-12-20,189.00,186.00,186.00,186.00,0.00,50.00,9300.00,0,24
2016-12-19,186.00,189.00,188.00,189.00,0.00,1100.00,206900.00,0,25
2016-12-18,183.00,189.00,180.00,186.00,0.00,1256.00,230553.00,0,26
2016-12-15,180.00,183.00,183.00,183.00,0.00,100.00,18300.00,0,27
2016-12-14,186.00,183.00,177.00,180.00,0.00,1568.00,282843.00,0,28
2016-12-11,185.00,186.00,186.00,186.00,0.00,88.00,16368.00,0,29
2016-12-08,185.00,188.00,185.00,185.00,0.00,209.00,38845.00,0,30
2016-12-07,180.00,189.00,183.00,185.00,0.00,2146.00,400096.00,0,31
2016-12-06,179.00,180.00,178.00,180.00,0.00,120.00,21480.00,0,32
2016-12-05,176.00,179.00,179.00,179.00,0.00,59.00,10561.00,0,33
2016-12-04,173.00,176.00,173.00,176.00,0.00,889.00,155933.00,0,34
2016-12-01,167.00,173.00,170.00,173.00,0.00,600.00,102900.00,0,35
2016-11-30,160.00,167.00,162.00,167.00,0.00,849.00,139138.00,0,36
2016-11-29,161.00,160.00,158.00,160.00,0.00,1960.00,311600.00,0,37
2016-11-28,155.00,161.00,158.00,161.00,0.00,700.00,111200.00,0,38
2016-11-27,161.00,158.00,155.00,155.00,0.00,91.00,14282.00,0,39
2016-11-24,167.00,164.00,161.00,161.00,0.00,2779.00,453356.00,0,40
2016-11-23,179.00,176.00,167.00,167.00,0.00,220.00,37340.00,0,41
2016-11-22,172.00,179.00,170.00,179.00,0.00,6594.00,1149864.00,0,42
2016-11-21,175.00,173.00,172.00,172.00,0.00,801.00,138003.00,0,43
2016-11-20,181.00,178.00,175.00,175.00,0.00,1080.00,189240.00,0,44
2016-11-17,184.00,181.00,181.00,181.00,0.00,26.00,4706.00,0,45
2016-11-16,187.00,185.00,182.00,184.00,0.00,652.00,119693.00,0,46
2016-11-15,190.00,190.00,187.00,187.00,0.00,148.00,27940.00,0,47
2016-11-10,196.00,193.00,190.00,190.00,0.00,1677.00,319161.00,0,48
2016-11-08,200.00,200.00,196.00,196.00,0.00,334.00,66264.00,0,49
2016-11-07,192.00,200.00,195.00,200.00,0.00,648.00,128356.00,0,50
2016-10-27,195.00,192.00,192.00,192.00,0.00,900.00,172800.00,0,51
2016-10-25,198.00,195.00,195.00,195.00,0.00,744.00,145080.00,0,52
2016-10-23,192.00,198.00,190.00,198.00,0.00,2041.00,394336.00,0,53
2016-10-20,192.00,192.00,190.00,192.00,0.00,1182.00,226744.00,0,54
2016-10-19,194.00,192.00,192.00,192.00,0.00,26.00,4992.00,0,55
2016-10-18,197.00,200.00,194.00,194.00,0.00,718.00,142646.00,0,56
2016-10-16,197.00,197.00,194.00,197.00,0.00,296.00,58081.00,0,57
2016-09-29,198.00,201.00,197.00,197.00,0.00,103.00,20527.00,0,58
2016-09-28,193.00,198.00,194.00,198.00,0.00,353.00,69564.00,0,59
2016-09-27,190.00,193.00,193.00,193.00,0.00,141.00,27213.00,0,60
2016-09-26,192.00,192.00,190.00,190.00,0.00,198.00,37738.00,0,61
2016-09-25,192.00,192.00,192.00,192.00,0.00,2500.00,480000.00,0,62
2016-09-21,191.00,197.00,192.00,192.00,0.00,5616.00,1091624.00,0,63
2016-09-20,193.00,194.00,191.00,191.00,0.00,1200.00,231100.00,0,64
2016-09-18,193.00,193.00,193.00,193.00,0.00,207.00,39951.00,0,65
2016-09-14,204.00,204.00,193.00,193.00,0.00,1645.00,320295.00,0,66
2016-09-12,200.00,212.00,201.00,204.00,0.00,11670.00,2393404.00,0,67
2016-09-11,199.00,204.00,200.00,200.00,0.00,3817.00,772996.00,0,68
2016-09-08,194.00,204.00,196.00,199.00,0.00,2236.00,444735.00,0,69
2016-09-07,190.00,194.00,188.00,194.00,0.00,422.00,80971.00,0,70
2016-09-06,193.00,190.00,190.00,190.00,0.00,59.00,11210.00,0,71
2016-09-05,195.00,193.00,192.00,193.00,0.00,159.00,30628.00,0,72
2016-09-04,186.00,195.00,189.00,195.00,0.00,610.00,117180.00,0,73
2016-09-03,186.00,195.00,189.00,195.00,0.00,610.00,117180.00,0,74
2016-09-01,179.00,187.00,182.00,186.00,0.00,2103.00,387222.00,0,75
2016-08-31,187.00,187.00,179.00,179.00,0.00,1288.00,239106.00,0,76
2016-08-30,170.00,187.00,173.00,187.00,0.00,1299.00,240513.00,0,77
2016-08-29,171.00,170.00,164.00,170.00,0.00,1533.00,255971.00,0,78
2016-08-28,184.00,182.00,170.00,171.00,0.00,3441.00,601527.00,0,79
2016-08-24,193.00,190.00,184.00,184.00,0.00,560.00,104720.00,0,80
2016-08-22,199.00,196.00,193.00,193.00,0.00,150.00,29100.00,0,81
2016-08-21,203.00,199.00,199.00,199.00,0.00,29.00,5771.00,0,82
2016-08-17,211.00,207.00,203.00,203.00,0.00,110.00,22410.00,0,83
2016-08-16,219.00,215.00,211.00,211.00,0.00,1054.00,222794.00,0,84
2016-08-14,219.00,223.00,219.00,219.00,0.00,1329.00,291685.00,0,85
2016-08-11,217.00,219.00,219.00,219.00,0.00,30.00,6570.00,0,86
2016-08-10,213.00,217.00,205.00,217.00,0.00,5707.00,1234563.00,0,87
2016-08-04,222.00,218.00,210.00,213.00,0.00,902.00,192988.00,0,88
2016-08-02,230.00,226.00,210.00,222.00,0.00,666.00,145526.00,0,89
2016-07-31,230.00,234.00,230.00,230.00,0.00,1300.00,300200.00,0,90
2016-07-28,238.00,238.00,226.00,230.00,0.00,6706.00,1566233.00,0,91
2016-07-27,229.00,243.00,233.00,238.00,0.00,11426.00,2731044.00,0,92
2016-07-26,212.00,229.00,208.00,229.00,0.00,12999.00,2852077.00,0,93
2016-07-25,193.00,212.00,196.00,212.00,0.00,2977.00,614648.00,0,94
2016-07-19,194.00,193.00,191.00,193.00,0.00,600.00,114800.00,0,95
2016-07-17,197.00,194.00,194.00,194.00,0.00,89.00,17266.00,0,96
2016-07-14,204.00,200.00,197.00,197.00,0.00,400.00,79100.00,0,97
2016-07-13,208.00,204.00,204.00,204.00,0.00,500.00,102000.00,0,98
2016-07-12,205.00,208.00,201.00,208.00,0.00,876.00,176416.00,0,99
2016-07-11,207.00,214.00,198.00,205.00,0.00,2228.00,464395.00,0,100
2016-07-10,195.00,210.00,198.00,207.00,0.00,6212.00,1277657.00,0,101
2016-07-06,189.00,195.00,186.00,195.00,0.00,2916.00,557152.00,0,102
2016-07-04,190.00,199.00,189.00,189.00,0.00,4576.00,879370.00,0,103
2016-07-03,193.00,190.00,190.00,190.00,0.00,1000.00,190000.00,0,104
2016-06-30,176.00,193.00,179.00,193.00,0.00,6548.00,1245245.00,0,105
2016-06-29,161.00,176.00,161.00,176.00,0.00,960.00,157879.00,0,106
2016-06-28,178.00,175.00,161.00,161.00,0.00,1879.00,309406.00,0,107
2016-06-27,181.00,178.00,178.00,178.00,0.00,59.00,10502.00,0,108
2016-06-26,189.00,188.00,180.00,181.00,0.00,6779.00,1237446.00,0,109
2016-06-23,193.00,196.00,189.00,189.00,0.00,1646.00,313372.00,0,110
2016-06-22,177.00,194.00,180.00,193.00,0.00,6248.00,1185985.00,0,111
