published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-28,625.00,630.00,616.00,622.09,-0.47,26956.00,16769208.40,-1,1
2025-07-27,655.0,659.7,621.0,625.0,-3.6,61259.0,39124893.9,-1,1
2025-07-24,636.0,655.0,636.0,648.37,0.91,41900.0,27127768.9,1,1
2025-07-23,656.1,656.1,635.0,642.51,-0.12,56363.0,36205611.6,-1,1
2025-07-22,622.0,645.0,610.2,643.3,5.48,45773.0,28898838.5,1,1
2025-07-21,601.0,615.0,595.8,609.87,0.33,45432.0,27436570.0,1,1
2025-07-20,615.0,625.0,605.0,607.87,-2.6,94612.0,58247906.7,-1,1
2025-07-17,612.2,630.0,597.9,624.07,3.96,51087.0,31414039.8,1,1
2025-07-16,544.0,605.8,540.0,600.29,8.3,147033.0,84159564.8,1,1
2025-07-15,550.0,567.0,543.5,554.27,1.02,15679.0,8696026.1,1,1
2025-07-14,558.5,558.5,546.0,548.66,-0.61,14159.0,7791825.8,-1,1
2025-07-13,569.9,570.0,545.0,552.05,-1.21,18126.0,10048525.5,-1,1
2025-07-10,551.0,569.9,550.5,558.81,-0.09,8378.0,4681647.6,-1,1
2025-07-09,554.0,569.9,552.0,559.34,1.09,11805.0,6591281.0,1,1
2025-07-08,564.0,569.0,552.5,553.32,-1.98,4453.0,2473646.2,-1,1
2025-07-07,590.9,590.9,557.0,564.48,-2.63,7859.0,4467227.5,-1,1
2025-07-06,552.0,586.5,542.2,579.73,5.18,25367.0,14458650.2,1,1
2025-07-03,543.0,554.8,536.5,551.2,1.14,16790.0,9228312.5,1,1
2025-07-02,539.9,551.0,535.1,544.97,2.23,19891.0,10823216.6,1,1
2025-07-01,525.0,539.6,525.0,533.07,0.29,3489.0,1852396.2,1,1
2025-06-30,541.5,541.5,530.0,531.51,0.09,4910.0,2610942.1,1,1
2025-06-29,520.0,533.4,520.0,531.04,0.3,5072.0,2674834.2,1,1
2025-06-26,533.0,536.0,514.0,529.45,1.18,9245.0,4864951.4,1,1
2025-06-25,530.0,530.0,517.4,523.27,-0.11,5790.0,3027323.3,-1,1
2025-06-24,542.0,545.0,520.0,523.86,-1.43,7743.0,4079869.4,-1,1
2025-06-23,532.2,539.0,530.0,531.44,-1.21,4393.0,2340371.4,-1,1
2025-06-22,557.0,557.0,535.0,537.97,-1.54,7082.0,3816470.4,-1,1
2025-06-19,545.0,557.7,537.0,546.39,0.23,18664.0,10216153.9,1,1
2025-06-18,550.0,556.2,544.1,545.13,-0.04,14835.0,8163775.0,-1,1
2025-06-17,518.2,559.0,518.2,545.35,5.28,18944.0,10186712.4,1,1
2025-06-16,551.1,561.0,508.5,517.99,-7.58,56746.0,30422002.3,-1,1
2025-06-15,557.1,570.0,557.1,560.45,0.18,16220.0,9137738.4,1,1
2025-06-12,561.0,592.0,559.0,559.46,-1.74,13857.0,7846589.6,-1,1
2025-06-11,590.0,590.0,558.6,569.34,-1.87,8376.0,4723583.1,-1,1
2025-06-10,588.9,588.9,566.0,580.21,0.48,5935.0,3451191.2,1,1
2025-06-09,552.7,581.4,541.0,577.41,6.56,12024.0,6780841.5,1,1
2025-06-08,548.0,550.0,540.0,541.87,-1.94,17611.0,9528745.2,-1,1
2025-06-05,560.0,570.6,550.0,552.57,-1.23,4611.0,2592498.9,-1,1
2025-06-04,558.1,569.0,557.9,559.46,-0.93,2523.0,1409745.9,-1,1
2025-06-03,573.0,577.0,558.0,564.73,-3.28,5891.0,3337580.9,-1,2
2025-06-02,600.0,602.0,582.6,583.86,-2.98,5008.0,2959402.8,-1,1
2025-05-28,614.9,617.0,591.0,601.81,-0.18,10690.0,6482771.4,-1,1
2025-05-27,550.0,613.0,550.0,602.91,7.76,14660.0,8676714.0,1,2
2025-05-26,560.6,600.0,556.0,559.48,1.79,9089.0,5124810.5,1,1
2025-05-25,540.1,565.0,530.5,549.66,-0.26,4339.0,2371909.2,-1,2
2025-05-22,578.0,578.0,535.0,551.11,-2.75,6512.0,3655281.9,-1,3
2025-05-21,587.0,610.6,565.0,566.72,-1.59,7591.0,4387611.4,-1,4
2025-05-20,561.0,582.1,561.0,575.89,0.91,11001.0,6305232.6,1,5
2025-05-19,596.0,596.0,568.0,570.69,-2.49,13120.0,7546360.4,-1,6
2025-05-18,595.5,599.0,583.1,585.26,-3.65,7044.0,4160833.7,-1,7
2025-05-15,601.0,615.0,601.0,607.43,-0.38,6127.0,3739648.5,-1,8
2025-05-14,630.0,644.9,605.0,609.75,-1.7,4076.0,2504081.8,-1,9
2025-05-13,639.0,660.0,620.0,620.31,-3.06,8494.0,5360005.5,-1,10
2025-05-11,646.5,658.1,612.0,639.88,0.87,17233.0,10835765.7,1,11
2025-05-08,643.7,654.7,613.0,634.36,0.51,16142.0,10148139.6,1,12
2025-05-07,632.0,637.9,608.1,631.15,1.83,9558.0,5947714.7,1,13
2025-05-06,640.0,640.5,615.7,619.78,-1.3,16025.0,9962946.3,-1,14
2025-05-05,621.0,635.0,611.7,627.96,-0.63,31454.0,19560739.5,-1,15
2025-05-04,628.4,644.0,628.1,631.95,-1.13,9328.0,5898118.4,-1,16
2025-04-30,663.6,663.6,637.1,639.16,-1.83,16292.0,10462085.5,-1,17
