published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-19,3600.00,3670.00,3600.00,3640.21,0.06,2239.00,8118710.00,1,1
2025-08-18,3631.31,3650.0,3580.0,3638.14,0.19,1978.0,7195630.4,1,1
2025-08-17,3585.0,3646.9,3542.0,3631.31,1.41,5824.0,20977026.0,1,1
2025-08-14,3528.0,3591.0,3525.0,3580.86,1.44,2187.0,7784827.6,1,1
2025-08-13,3595.0,3638.0,3520.0,3530.13,-2.83,989.0,3525712.5,-1,1
2025-08-12,3630.0,3659.0,3600.0,3632.95,0.63,6188.0,22355469.2,1,1
2025-08-11,3700.0,3700.0,3610.0,3610.18,-1.48,2425.0,8802735.2,-1,1
2025-08-07,3690.0,3699.9,3640.0,3664.57,0.85,4547.0,16661475.9,1,1
2025-08-06,3526.0,3645.0,3525.0,3633.74,1.42,6785.0,24503160.5,1,1
2025-08-05,3577.48,3600.0,3501.0,3582.73,0.15,1963.0,7005912.5,1,1
2025-08-04,3572.58,3580.0,3511.0,3577.48,0.14,1865.0,6620184.2,1,1
2025-08-03,3686.6,3686.6,3535.0,3572.58,-1.16,3214.0,11492559.0,-1,1
2025-07-31,3560.0,3647.9,3560.0,3614.36,0.26,3198.0,11540309.7,1,1
2025-07-30,3649.0,3720.0,3595.0,3605.01,-1.64,3103.0,11236481.6,-1,1
2025-07-29,3599.0,3669.0,3552.0,3665.22,3.63,6376.0,23069018.7,1,1
2025-07-28,3545.92,3590.0,3511.0,3560.91,0.42,1481.0,5270982.7,1,1
2025-07-27,3580.0,3669.0,3541.0,3545.92,-2.67,2622.0,9499036.5,-1,1
2025-07-24,3561.0,3661.0,3521.0,3643.34,0.28,8933.0,31950674.9,1,1
2025-07-23,3700.0,3700.0,3545.0,3633.27,-1.7,3172.0,11377853.5,-1,1
2025-07-22,3675.0,3700.0,3600.0,3696.24,1.73,5744.0,20935784.5,1,1
2025-07-21,3547.0,3649.0,3516.0,3633.43,0.4,8758.0,31513560.3,1,1
2025-07-20,3435.0,3640.0,3435.0,3618.87,3.25,6573.0,23634936.1,1,1
2025-07-17,3351.0,3525.9,3351.0,3504.93,3.41,9156.0,31392994.6,1,1
2025-07-16,3330.0,3440.0,3330.0,3389.5,0.12,3883.0,13128592.8,1,1
2025-07-15,3300.0,3393.0,3300.0,3385.33,1.44,1298.0,4330462.0,1,1
2025-07-14,3325.0,3371.9,3306.0,3337.3,-0.64,3817.0,12728146.0,-1,1
2025-07-13,3433.1,3449.9,3316.0,3358.69,-0.21,15724.0,52753744.3,-1,1
2025-07-10,3370.0,3400.2,3305.0,3365.8,-2.0,7901.0,26545340.5,-1,1
2025-07-09,3350.0,3437.0,3350.0,3434.35,0.57,7158.0,24249989.7,1,1
2025-07-08,3350.0,3414.9,3350.0,3414.9,0.37,1414.0,4812898.3,1,1
2025-07-07,3385.0,3448.9,3385.0,3402.28,-0.62,4642.0,15779509.0,-1,1
2025-07-06,3410.1,3449.9,3409.0,3423.46,-1.61,1636.0,5597039.6,-1,1
2025-07-03,3412.9,3619.0,3400.0,3479.62,-0.08,5329.0,18357704.4,-1,1
2025-07-02,3391.0,3528.0,3391.0,3482.52,0.66,4045.0,13946544.9,1,1
2025-07-01,3462.0,3462.0,3352.0,3459.68,1.82,4965.0,16971451.7,1,1
2025-06-30,3300.0,3399.0,3300.0,3397.93,1.05,4689.0,15818323.6,1,1
2025-06-29,3335.0,3373.8,3320.0,3362.63,0.76,3857.0,12928624.7,1,1
2025-06-26,3350.0,3350.0,3300.0,3337.4,0.29,2629.0,8762061.0,1,1
2025-06-25,3292.0,3347.0,3242.0,3327.66,1.18,4627.0,15344474.3,1,1
2025-06-24,3193.5,3299.0,3100.0,3288.84,0.93,7260.0,23544531.5,1,1
2025-06-23,3205.0,3260.0,3130.0,3258.61,2.78,1944.0,6271068.0,1,1
2025-06-22,3308.1,3308.1,3165.5,3170.5,-3.81,378.0,1215205.0,-1,1
2025-06-19,3251.1,3298.0,3251.1,3295.93,-0.16,6497.0,21355221.0,-1,1
2025-06-18,3290.0,3320.0,3261.0,3301.07,0.51,4082.0,13462935.5,1,1
