published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-25,570.20,575.80,570.20,573.65,0.04,88337.00,50568055.80,1,1
2025-08-24,570.0,579.4,570.0,573.4,-0.19,101202.0,58117310.9,-1,1
2025-08-21,581.9,581.9,569.9,574.48,0.65,95382.0,54555114.6,1,1
2025-08-20,580.0,582.0,570.0,570.79,-1.83,219123.0,125543128.2,-1,1
2025-08-19,594.7,608.8,578.0,581.41,-4.18,534227.0,317237872.7,-1,1
2025-08-18,591.4,615.0,588.0,606.8,0.56,258797.0,155720555.4,1,1
2025-08-17,600.0,609.0,600.0,603.4,-0.39,211811.0,127551427.6,-1,1
2025-08-14,598.0,625.0,598.0,605.78,0.33,245434.0,148686591.9,1,1
2025-08-13,587.0,606.0,587.0,603.79,1.85,457123.0,274742441.8,1,1
2025-08-12,582.0,600.0,582.0,592.8,0.73,246483.0,145497381.7,1,1
2025-08-11,584.0,596.8,580.0,588.51,0.32,304272.0,178806925.5,1,1
2025-08-07,564.1,591.3,564.1,586.61,2.56,359089.0,209245534.4,1,1
2025-08-06,554.0,576.0,554.0,571.95,2.49,321866.0,182856203.4,1,1
2025-08-05,542.0,562.0,542.0,558.03,1.69,221293.0,122502888.0,1,1
2025-08-04,556.7,556.7,544.0,548.77,0.54,127200.0,69998871.2,1,1
2025-08-03,548.0,554.5,545.0,545.84,-0.63,121072.0,66564935.6,-1,1
2025-07-31,555.9,555.9,546.0,549.3,0.0,105399.0,57878251.4,0,1
2025-07-30,546.0,552.0,546.0,549.29,0.06,139702.0,76676052.7,1,1
2025-07-29,540.0,560.0,540.0,548.95,0.24,74195.0,41069781.1,1,1
2025-07-28,546.4,553.0,545.0,547.61,0.21,107972.0,59117270.9,1,1
2025-07-27,559.0,560.8,545.0,546.47,-1.46,187751.0,103341591.1,-1,1
2025-07-24,560.0,568.0,552.0,554.57,-1.29,173107.0,96781301.4,-1,1
2025-07-23,564.0,570.9,560.0,561.83,-1.13,134347.0,75706385.3,-1,1
2025-07-22,560.0,574.0,556.3,568.24,1.25,121975.0,69420155.3,1,1
2025-07-21,560.0,573.0,555.7,561.21,-1.43,170079.0,95490856.2,-1,1
2025-07-20,571.9,605.0,567.0,569.34,-2.44,332101.0,191577673.9,-1,1
2025-07-17,565.0,619.0,565.0,583.55,3.58,563576.0,329634436.9,1,1
2025-07-16,540.1,567.0,540.1,563.37,2.25,178317.0,99697475.6,1,1
2025-07-15,542.1,562.0,542.1,550.96,-0.05,186469.0,103497139.9,-1,1
2025-07-14,560.9,560.9,538.9,551.25,0.23,206397.0,113066040.5,1,1
2025-07-13,560.0,570.1,540.1,549.98,-2.99,151629.0,84668195.0,-1,1
2025-07-10,560.1,569.9,560.1,566.93,-0.11,171104.0,96814870.8,-1,1
2025-07-09,560.1,571.9,560.1,567.58,0.2,145592.0,82152977.7,1,1
2025-07-08,560.0,567.8,560.0,566.42,0.13,103114.0,58322121.0,1,1
2025-07-07,559.0,568.0,559.0,565.67,0.18,140928.0,79673131.5,1,1
2025-07-06,555.0,570.0,555.0,564.63,0.04,227290.0,128144403.9,1,1
2025-07-03,559.4,580.0,559.4,564.4,-1.11,123972.0,70186504.9,-1,1
2025-07-02,551.1,574.0,551.1,570.72,1.5,127824.0,72885058.7,1,1
2025-07-01,545.1,567.0,545.1,562.27,1.44,99431.0,55870661.4,1,1
2025-06-30,543.0,556.0,543.0,554.28,0.89,127831.0,70642832.9,1,1
2025-06-29,544.1,554.8,544.1,549.38,0.33,169907.0,93096767.9,1,1
2025-06-26,540.1,553.8,540.1,547.57,0.3,161546.0,88246207.3,1,1
2025-06-25,538.0,549.0,538.0,545.91,0.37,131169.0,71515163.1,1,1
2025-06-24,537.1,550.0,537.1,543.91,0.33,156043.0,84680095.7,1,1
2025-06-23,532.1,547.0,532.1,542.1,0.16,196340.0,105955840.3,1,1
2025-06-22,530.1,548.9,530.1,541.22,0.51,383579.0,207027836.2,1,1
