published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,560.00,582.00,551.30,555.57,1.16,9202.00,5134101.50,1,1
2025-05-25,543.00,565.00,543.00,549.21,-0.77,9232.00,5114629.00,-1,2
2025-05-22,549.50,574.50,549.50,553.46,-1.29,24273.00,13540481.80,-1,3
2025-05-21,577.60,600.00,560.00,560.67,-1.00,14926.00,8459187.10,-1,4
2025-05-20,560.00,569.00,543.10,566.36,2.82,12750.00,7091820.90,1,5
2025-05-19,542.00,567.90,540.00,550.81,-0.29,17886.00,9840086.90,-1,6
2025-05-18,567.50,567.50,551.10,552.43,-0.71,6903.00,3842428.60,-1,7
2025-05-15,576.00,576.00,555.00,556.38,-1.48,10655.00,5996853.40,-1,8
2025-05-14,577.60,600.80,564.00,564.74,-0.28,12789.00,7278936.40,-1,9
2025-05-13,575.00,584.90,565.10,566.31,-1.28,23046.00,13142476.10,-1,10
2025-05-11,569.90,592.80,569.90,573.65,-1.36,18140.00,10495345.70,-1,11
2025-05-08,597.20,597.20,575.00,581.53,-0.68,31213.00,18240575.90,-1,12
2025-05-07,570.00,595.60,566.10,585.54,2.72,30546.00,17694418.90,1,13
2025-05-06,560.20,576.00,560.20,570.05,0.49,14172.00,8086520.50,1,14
2025-05-05,584.00,584.00,566.50,567.25,-0.97,8791.00,5016440.70,-1,15
2025-05-04,588.60,595.70,570.00,572.80,-0.75,24975.00,14466270.20,-1,16
2025-04-30,565.70,590.00,565.70,577.15,0.61,26821.00,15489572.30,1,17
2025-04-29,576.00,590.00,570.00,573.67,-1.14,27793.00,16036647.80,-1,18
2025-04-28,599.00,599.00,578.00,580.27,-1.47,24953.00,14575151.90,-1,19
2025-04-27,586.00,612.00,586.00,588.95,-1.39,18681.00,11086704.10,-1,20
2025-04-24,589.10,605.00,589.10,597.27,-0.64,32914.00,19674600.70,-1,21
2025-04-23,595.00,624.00,595.00,601.09,-0.95,13486.00,8131136.00,-1,22
2025-04-22,602.00,626.00,602.00,606.84,-1.21,22398.00,13651065.40,-1,23
2025-04-21,615.00,625.00,608.00,614.26,-0.09,24214.00,14940597.60,-1,24
2025-04-20,640.60,640.60,612.50,614.83,-2.68,25061.00,15584481.70,-1,25
2025-04-17,605.00,649.00,605.00,631.73,4.27,50134.00,31462037.00,1,26
2025-04-16,594.20,609.90,593.00,605.85,0.96,21393.00,12919619.00,1,27
2025-04-15,604.70,609.90,581.10,600.07,1.21,18126.00,10900153.10,1,28
2025-04-13,590.50,604.00,590.00,592.87,-0.13,19394.00,11531126.80,-1,29
2025-04-10,600.00,605.00,590.50,593.63,-0.22,19562.00,11611733.10,-1,30
2025-04-09,608.00,608.00,591.00,594.91,-0.36,16911.00,10107266.60,-1,31
2025-04-08,609.50,609.50,588.00,597.06,-0.09,29602.00,17540863.80,-1,32
2025-04-07,620.00,621.90,596.90,597.61,-2.01,17493.00,10518993.00,-1,33
2025-04-03,623.00,623.00,601.00,609.86,-0.19,22484.00,13740433.60,-1,34
2025-04-02,620.30,620.30,605.10,611.04,0.47,15596.00,9543924.60,1,35
2025-04-01,632.00,632.00,605.20,608.21,-1.92,21902.00,13363298.00,-1,36
2025-03-30,625.00,630.00,607.00,620.11,1.08,30728.00,19066820.30,1,37
2025-03-27,601.20,625.20,601.20,613.50,0.35,34564.00,21324629.10,1,38
2025-03-26,598.00,618.00,586.10,611.33,4.03,34229.00,20579332.50,1,39
2025-03-25,637.80,637.90,586.10,587.62,-6.26,19875.00,12017909.40,-1,40
2025-03-24,637.00,637.00,612.70,626.85,0.26,18911.00,11790770.30,1,41
2025-03-23,626.00,650.00,625.00,625.20,-2.12,126785.00,80609820.70,-1,42
2025-03-20,656.70,656.70,630.00,638.77,-0.80,27776.00,17756015.80,-1,43
2025-03-19,627.20,665.00,627.20,643.90,0.63,40457.00,25843474.70,1,44
2025-03-18,646.90,647.50,636.20,639.90,0.77,33188.00,21167861.20,1,45
2025-03-17,654.00,658.90,633.90,635.00,-1.70,29180.00,18670743.00,-1,46
2025-03-16,668.00,670.00,642.00,646.00,-2.12,49029.00,31740857.70,-1,47
2025-03-12,658.00,665.00,653.00,660.00,0.32,20632.00,13583362.00,1,48
2025-03-11,667.00,670.00,653.20,657.90,-1.22,51290.00,33684443.00,-1,49
2025-03-10,683.00,683.00,654.00,666.00,-0.60,40620.00,27110630.40,-1,50
2024-12-12,642.0,675.0,642.0,650.0,-0.28,202991.0,134800984.7,-1,1
2024-12-11,654.0,658.9,640.1,651.8,1.23,79180.0,51550512.4,1,1
2024-12-10,660.0,660.0,641.1,643.9,-0.63,55997.0,36182679.4,-1,2
2024-12-09,650.0,660.0,640.0,648.0,0.62,156827.0,101916680.2,1,3
2024-12-08,680.0,680.0,627.0,644.0,-3.74,158821.0,102514874.0,-1,4
2024-12-05,673.0,683.0,660.1,669.0,-0.59,144049.0,97001157.3,-1,5
2024-12-04,670.0,699.8,662.0,673.0,0.54,203592.0,139835564.0,1,6
2024-12-03,655.6,677.0,647.4,669.4,4.11,238015.0,158729234.8,1,7
2024-12-02,655.0,667.0,642.0,643.0,-1.82,248590.0,162189571.2,-1,8
2024-12-01,618.4,669.0,613.0,654.9,3.79,299731.0,192017096.2,1,9
2024-11-28,620.0,640.4,619.9,631.0,1.77,291226.0,184040136.3,1,10
2024-11-27,599.1,632.0,580.8,620.0,5.55,309048.0,185802515.9,1,11
2024-11-26,544.0,587.4,540.0,587.4,10.0,319838.0,182422410.9,1,12
2024-11-25,540.6,540.6,528.0,534.0,0.75,62421.0,33385499.0,1,13
2024-11-24,535.5,554.0,526.0,530.0,0.95,109683.0,58867197.9,1,14
2024-11-21,536.2,545.0,525.0,525.0,-1.87,62473.0,33368083.0,-1,15
2024-11-20,521.0,561.0,517.0,535.0,3.08,88261.0,47248260.7,1,16
2024-11-19,543.0,545.5,515.0,519.0,-3.26,123742.0,65237837.5,-1,17
2024-11-17,536.0,548.0,524.5,536.5,2.0,99036.0,53138043.4,1,18
2024-11-14,528.0,540.0,523.3,526.0,-0.75,45632.0,24168876.5,-1,19
2024-11-13,539.0,539.0,522.0,530.0,-0.58,25868.0,13743908.4,-1,20
2024-11-12,510.0,549.7,505.0,533.1,4.55,112442.0,60122757.2,1,21
2024-11-11,516.0,520.1,500.0,509.9,0.75,88698.0,45532968.2,1,22
2024-11-10,499.9,512.0,494.0,506.1,2.68,38588.0,19568678.9,1,23
2024-11-06,501.3,501.3,485.0,492.9,0.28,22424.0,11025311.9,1,24
2024-11-05,485.2,514.9,485.2,491.5,-0.71,8971.0,4446868.4,-1,25
2024-10-30,502.5,507.0,495.0,495.0,0.0,56318.0,28287095.2,0,26
2024-10-29,490.0,502.0,486.0,495.0,1.43,39436.0,19556051.4,1,27
2024-10-28,480.0,488.0,480.0,488.0,0.62,14840.0,7188163.9,1,28
2024-10-27,463.0,486.0,461.2,485.0,3.63,23256.0,11049204.8,1,29
2024-10-24,482.0,482.0,460.0,468.0,-1.47,15139.0,7063419.0,-1,30
2024-10-23,475.0,482.9,470.0,475.0,-0.4,22876.0,10904840.6,-1,31
2024-10-22,468.0,476.9,463.1,476.9,2.78,24280.0,11467911.4,1,32
2024-10-21,472.1,480.0,462.1,464.0,-3.31,23995.0,11248887.5,-1,33
2024-10-20,472.1,496.9,467.2,479.9,-0.27,59876.0,29071133.4,-1,34
2024-10-17,492.7,502.0,477.0,481.2,-0.39,43720.0,21644493.1,-1,35
2024-10-16,474.4,490.6,455.8,483.1,3.87,36722.0,17615337.5,1,36
2024-10-15,461.0,469.9,443.0,465.1,2.9,13277.0,6053276.3,1,37
2024-10-09,460.0,460.0,446.0,452.0,-0.59,11112.0,5011218.5,-1,38
2024-10-08,465.0,467.5,449.0,454.7,-2.22,23917.0,10879109.8,-1,39
2024-10-07,469.2,485.9,462.0,465.0,1.09,36541.0,17302155.0,1,40
2024-10-06,445.0,465.0,443.0,460.0,3.37,25530.0,11622279.4,1,41
2024-10-02,460.0,460.0,442.0,445.0,-1.55,41720.0,18724077.0,-1,42
2024-10-01,430.0,455.0,414.0,452.0,7.11,49793.0,22179013.2,1,43
2024-09-30,406.9,423.0,406.7,422.0,1.69,17292.0,7224383.8,1,44
2024-09-29,427.0,427.0,407.7,415.0,-3.26,41520.0,17180854.7,-1,45
2024-09-26,444.0,444.0,428.1,429.0,-1.61,24578.0,10659144.5,-1,46
2024-09-25,417.0,436.0,417.0,436.0,2.85,19221.0,8271591.8,1,47
2024-09-24,432.0,440.0,420.1,423.9,-2.33,21411.0,9162406.6,-1,48
2024-09-23,449.0,449.0,429.0,434.0,-3.08,20371.0,8868265.3,-1,49
2024-09-22,453.0,462.9,442.1,447.8,0.63,17522.0,7872422.8,1,50
2024-09-18,445.1,458.8,445.0,445.0,-1.09,33810.0,15216815.0,-1,51
2024-09-16,446.1,454.0,441.0,449.9,-1.12,44944.0,20064878.4,-1,52
2024-09-15,470.0,486.0,450.0,455.0,-5.01,52421.0,24577332.6,-1,53
2024-09-12,441.0,479.0,441.0,479.0,8.62,50359.0,22824490.5,1,54
2024-09-11,457.0,457.0,440.0,441.0,-2.0,35203.0,15660538.2,-1,55
2024-09-10,453.0,462.0,439.2,450.0,-0.66,62562.0,28026516.4,-1,56
2024-09-09,471.0,471.0,450.0,453.0,-3.82,52367.0,23956162.3,-1,57
