published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-06,47050.00,47500.00,46105.10,46700.00,-2.71,292.00,13681223.90,-1,1
2025-08-05,47900.5,48000.0,47900.0,48000.0,0.21,21.0,1007500.0,1,1
2025-08-04,48450.0,48450.0,47602.0,47900.5,-1.13,46.0,2212534.0,-1,1
2025-07-31,48265.0,48450.0,47500.0,48450.0,-1.62,50.0,2402150.0,-1,1
2025-07-30,49250.0,49250.0,49250.0,49250.0,0.51,10.0,492500.0,1,1
2025-07-29,49731.0,50724.0,49000.0,49000.5,0.5,70.0,3477106.0,1,1
2025-07-28,48755.9,48756.0,48755.9,48755.96,2.0,38.0,1845295.1,1,1
2025-07-27,47500.0,48450.0,47500.0,47800.0,-0.83,60.0,2875490.0,-1,1
2025-07-24,47926.0,48200.0,47926.0,48200.0,-1.43,20.0,961260.0,-1,1
2025-07-23,47430.1,48900.0,47430.1,48900.0,3.1,146.0,7098167.0,1,1
2025-07-22,46980.0,47430.1,46500.0,47430.1,2.0,60.0,2818402.0,1,1
2025-07-21,46666.6,46666.6,46500.1,46500.1,-0.43,70.0,3259824.0,-1,1
2025-07-20,46900.0,46900.0,46700.0,46700.0,-0.43,50.0,2341000.0,-1,1
2025-07-17,47150.0,47150.0,46900.0,46900.0,1.21,40.0,1880500.0,1,1
2025-07-16,46300.0,46887.0,46300.0,46340.0,2.04,40.0,1858270.0,1,1
2025-07-15,46000.0,46308.0,45201.0,45415.55,-1.27,217.0,9867561.7,-1,1
2025-07-14,46014.0,46014.0,46000.0,46000.0,0.0,50.0,2300410.0,0,1
2025-07-13,46920.0,46950.0,46001.0,46001.0,0.0,110.0,5092492.0,0,1
2025-07-10,46010.0,46010.0,46000.0,46000.0,-1.89,50.0,2300130.0,-1,1
2025-07-09,46888.0,46888.0,46888.0,46888.0,1.27,10.0,468880.0,1,1
2025-07-08,46300.0,46300.0,46299.0,46299.0,0.63,20.0,925990.0,1,1
