published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-25,194.00,194.00,192.40,193.38,0.13,101462.00,19592964.20,1,1
2025-08-24,194.0,195.3,193.0,193.12,-0.7,136217.0,26370828.8,-1,1
2025-08-21,194.1,195.0,194.0,194.49,-0.08,140543.0,27323786.8,-1,1
2025-08-20,199.6,199.6,194.0,194.64,-0.57,121649.0,23710263.5,-1,1
2025-08-19,197.0,197.0,195.1,195.75,0.13,99855.0,19590893.8,1,1
2025-08-18,194.1,196.0,194.1,195.49,0.21,151066.0,29473204.4,1,1
2025-08-17,196.0,197.5,195.0,195.08,-0.57,179120.0,35016823.4,-1,1
2025-08-14,197.0,198.8,196.0,196.19,-0.19,196622.0,38603923.9,-1,1
2025-08-13,198.9,198.9,196.3,196.56,0.03,121812.0,24016387.2,1,1
2025-08-12,198.1,200.0,196.3,196.51,-0.8,194389.0,38300695.9,-1,1
2025-08-11,201.0,202.0,198.0,198.1,-0.83,220979.0,44033768.2,-1,1
2025-08-07,204.1,204.1,199.5,199.75,-0.18,219141.0,43835131.4,-1,1
2025-08-06,202.0,202.0,198.0,200.12,-0.22,194040.0,38811212.4,-1,1
2025-08-05,201.0,204.8,200.1,200.57,-0.68,170677.0,34371425.2,-1,1
2025-08-04,206.4,206.4,200.2,201.95,-0.23,246539.0,49842153.0,-1,1
2025-08-03,203.1,205.0,202.1,202.42,-1.29,253126.0,51489420.8,-1,1
2025-07-31,207.0,207.0,205.0,205.07,-0.76,254449.0,52359856.0,-1,1
2025-07-30,204.4,213.0,204.4,206.64,-0.88,264944.0,55228659.0,-1,1
2025-07-29,210.0,212.0,207.3,208.48,0.03,365107.0,76602962.0,1,1
2025-07-28,210.0,210.0,205.0,208.42,-0.31,353662.0,73262359.1,-1,1
2025-07-27,215.0,215.7,208.2,209.06,-1.88,664937.0,140709692.8,-1,1
2025-07-24,216.0,218.4,212.0,213.07,-0.71,548780.0,117607031.9,-1,1
2025-07-23,214.2,217.8,210.1,214.6,2.19,953263.0,204487482.7,1,1
2025-07-22,207.9,211.0,206.5,210.01,2.05,771447.0,161070519.3,1,1
2025-07-21,208.1,210.9,204.0,205.79,-0.97,394812.0,81347451.4,-1,1
2025-07-20,208.0,214.2,206.0,207.8,0.79,848914.0,178917287.9,1,1
2025-07-17,199.0,208.0,198.0,206.18,3.84,896797.0,182366297.1,1,1
