published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-17,475.00,477.00,461.00,464.75,-0.22,15697.00,7369183.70,-1,1
2025-08-14,472.0,475.0,465.0,465.78,-0.33,16896.0,7905234.0,-1,1
2025-08-13,479.0,490.0,466.0,467.31,-2.38,30250.0,14265314.6,-1,1
2025-08-12,480.0,490.0,472.1,478.68,-0.38,10751.0,5163864.4,-1,1
2025-08-11,501.1,501.2,478.0,480.5,-3.76,49073.0,23896083.0,-1,1
2025-08-07,490.0,505.0,477.0,499.26,3.84,38032.0,18942316.0,1,1
2025-08-06,486.0,495.0,476.4,480.81,0.9,13337.0,6465727.6,1,1
2025-08-05,510.0,510.0,475.0,476.52,-4.8,106012.0,51163016.2,-1,1
2025-08-04,500.0,504.0,490.3,500.52,1.98,22890.0,11364264.6,1,1
2025-08-03,495.2,510.0,489.5,490.78,-0.86,39348.0,19661347.5,-1,1
2025-07-31,520.0,520.0,490.0,495.02,-4.94,91745.0,45594749.3,-1,1
2025-07-30,534.1,542.0,518.0,520.74,-4.05,50448.0,26862553.2,-1,1
2025-07-29,535.8,547.0,535.8,542.74,-0.67,32615.0,17681129.7,-1,1
2025-07-28,557.0,560.0,529.0,542.83,-2.48,52099.0,28281162.7,-1,1
2025-07-27,545.0,580.2,533.0,556.65,2.19,117409.0,63999675.7,1,1
2025-07-24,540.0,564.0,535.0,544.72,1.76,78312.0,42986011.5,1,1
2025-07-23,525.0,545.0,509.1,535.28,3.1,64610.0,34066761.0,1,1
2025-07-22,499.0,521.2,493.0,519.19,6.0,71830.0,36454337.4,1,1
2025-07-21,467.0,494.0,464.1,489.82,3.68,60620.0,29506062.0,1,1
2025-07-20,485.0,493.6,469.0,472.42,-2.17,54257.0,26236342.5,-1,1
2025-07-17,474.9,499.0,474.9,482.88,3.57,44082.0,21312476.6,1,1
2025-07-16,451.0,470.0,440.1,466.23,4.38,48834.0,22443618.9,1,1
2025-07-15,429.0,467.9,420.6,446.66,2.58,55763.0,24617902.9,1,1
2025-07-14,426.3,444.9,426.3,435.41,0.11,20507.0,8986985.3,1,1
2025-07-13,442.0,448.0,433.2,434.94,-1.67,28372.0,12481199.1,-1,1
2025-07-10,454.0,454.0,438.0,442.31,-0.73,13262.0,5882429.4,-1,1
2025-07-09,440.0,452.7,440.0,445.55,1.22,21061.0,9451772.5,1,1
2025-07-08,437.0,446.0,436.2,440.18,0.72,15666.0,6917561.5,1,1
2025-07-07,450.0,458.0,435.0,437.04,-3.72,12623.0,5596230.8,-1,1
2025-07-06,439.5,455.5,438.0,453.91,1.64,27026.0,12126858.3,1,1
2025-07-03,443.0,459.0,443.0,446.58,-1.03,20825.0,9341636.5,-1,1
2025-07-02,425.2,462.0,425.2,451.25,5.43,45781.0,20521743.3,1,1
2025-07-01,422.1,435.0,422.1,428.0,-0.34,10694.0,4591360.6,-1,1
2025-06-30,432.0,432.0,420.5,429.46,0.97,7031.0,3013035.3,1,1
2025-06-29,416.0,430.0,416.0,425.32,1.8,14199.0,6037488.8,1,1
2025-06-26,425.0,430.4,410.0,417.78,-1.75,24843.0,10404399.3,-1,1
2025-06-25,429.4,429.4,422.0,425.22,0.95,10316.0,4372034.0,1,1
2025-06-24,422.0,437.0,421.0,421.21,-1.79,10873.0,4620067.9,-1,1
2025-06-23,421.1,432.1,421.0,428.89,0.84,6023.0,2564720.0,1,1
2025-06-22,432.0,436.0,422.5,425.32,-1.34,10893.0,4644596.3,-1,1
2025-06-19,440.0,444.0,430.0,431.11,-1.3,15049.0,6528934.8,-1,1
2025-06-18,447.9,447.9,430.3,436.81,-0.55,8018.0,3517924.4,-1,1
2025-06-17,443.0,443.0,431.2,439.21,0.94,6167.0,2694526.5,1,1
2025-06-16,435.2,441.9,434.0,435.14,0.27,15560.0,6805266.0,1,1
2025-06-15,449.9,449.9,431.0,433.98,-1.77,27245.0,11922351.1,-1,1
2025-06-12,451.0,456.0,440.0,441.81,-1.36,26321.0,11805943.8,-1,1
2025-06-11,452.2,458.0,436.0,447.92,-2.54,13746.0,6158623.4,-1,1
2025-06-10,445.0,467.0,445.0,459.6,3.07,35135.0,16180933.9,1,1
2025-06-09,420.1,450.0,420.0,445.9,4.83,30914.0,13476518.6,1,1
2025-06-08,440.0,448.8,422.0,425.34,-1.54,20155.0,8599211.0,-1,1
2025-06-05,421.1,445.1,421.1,431.98,0.68,22057.0,9565084.5,1,1
2025-06-04,435.0,441.0,428.4,429.08,-2.56,21585.0,9329716.6,-1,1
2025-06-03,460.0,460.0,436.3,440.34,-3.27,22967.0,10142353.3,-1,2
2025-06-02,471.8,481.2,446.0,455.23,-1.59,15217.0,6928814.7,-1,1
2025-05-28,478.0,479.0,460.0,462.6,-1.35,12111.0,5614123.6,-1,1
2025-05-27,462.0,484.6,462.0,468.94,-0.5,9465.0,4461435.8,-1,2
2025-05-26,484.7,502.0,470.0,471.31,-0.83,7836.0,3716114.0,-1,1
2025-05-25,475.0,485.0,473.0,475.24,-0.64,6881.0,3275086.0,-1,2
2025-05-22,485.0,486.0,476.3,478.31,-1.51,6123.0,2928626.7,-1,3
2025-05-21,499.0,508.0,483.0,485.63,-0.74,16559.0,8145455.0,-1,4
2025-05-20,476.0,493.6,470.1,489.25,3.75,10269.0,4976797.2,1,5
2025-05-19,476.0,485.0,468.0,471.58,-0.91,12276.0,5793939.0,-1,6
2025-05-18,478.0,502.9,474.0,475.91,-1.76,15881.0,7668687.1,-1,7
2025-05-15,502.8,508.0,481.2,484.45,-1.83,11847.0,5834253.2,-1,8
2025-05-14,482.0,519.0,482.0,493.49,0.8,15855.0,7889699.8,1,9
2025-05-13,499.0,519.0,485.5,489.57,-2.0,9883.0,4866258.5,-1,10
2025-05-11,530.5,530.5,497.0,499.58,-3.95,19995.0,10103945.1,-1,11
2025-05-08,535.0,535.0,512.8,520.12,-2.42,26289.0,13725719.0,-1,12
2025-05-07,530.0,538.0,521.0,533.03,-1.05,24971.0,13208307.5,-1,13
2025-05-06,554.0,562.9,524.3,538.68,-1.71,43129.0,23536611.2,-1,14
2025-05-05,533.6,550.0,524.0,548.07,4.76,47706.0,25643856.5,1,15
2025-05-04,477.0,523.9,477.0,523.15,9.84,45961.0,23606530.6,1,16
2025-04-30,478.0,487.0,462.1,476.3,-0.33,34761.0,16276259.6,-1,17
2025-04-29,487.0,489.2,462.6,477.87,-2.16,25642.0,12154375.1,-1,18
2025-04-28,485.9,514.0,485.0,488.4,-1.48,19116.0,9374861.4,-1,19
2025-04-27,528.1,535.0,486.0,495.75,-4.26,36102.0,18225367.4,-1,20
2025-04-24,521.0,541.3,507.0,517.82,-2.43,48701.0,25115797.6,-1,21
2025-04-23,529.2,549.9,529.2,530.73,-1.7,8216.0,4402965.5,-1,22
2025-04-22,542.0,550.0,536.0,539.91,-0.53,27532.0,14862599.6,-1,23
2025-04-21,557.6,557.6,529.0,542.78,-0.72,14820.0,8011162.1,-1,24
2025-04-20,567.0,567.0,542.0,546.7,-3.57,13008.0,7147714.5,-1,25
2025-04-17,547.1,574.0,547.1,566.94,1.91,10608.0,6032389.0,1,26
2025-04-16,554.0,563.0,538.0,556.29,2.24,25241.0,13800225.6,1,27
2025-04-15,573.8,575.0,540.0,544.08,-3.28,57430.0,31703871.2,-1,28
2025-04-13,570.0,570.1,558.0,562.55,-2.49,8556.0,4819183.3,-1,29
2025-04-10,587.0,589.9,573.0,576.94,0.17,4353.0,2515967.0,1,30
2025-04-09,583.1,600.7,570.0,575.97,-2.35,21109.0,12234994.0,-1,31
2025-04-08,586.0,597.0,580.1,589.86,-0.87,3687.0,2160331.7,-1,32
2025-04-07,599.1,619.0,591.5,595.03,-2.47,2643.0,1576992.6,-1,33
2025-04-03,600.0,614.0,596.0,610.08,-0.09,14230.0,8596374.5,-1,34
2025-04-02,590.0,613.5,590.0,610.62,1.72,8821.0,5351560.0,1,35
2025-04-01,605.0,623.9,594.0,600.32,-1.95,7755.0,4656709.5,-1,36
2025-03-30,585.0,623.2,585.0,612.26,2.6,15431.0,9331082.0,1,37
2025-03-27,585.7,620.0,574.0,596.73,-0.15,7286.0,4309230.2,-1,38
2025-03-26,570.0,600.0,570.0,597.64,3.07,7390.0,4357031.0,1,39
2025-03-25,590.0,596.0,563.5,579.84,-2.07,13898.0,7989459.1,-1,40
