published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-12-23,152.00,155.00,152.00,152.00,0.00,1110.00,171750.00,0,1
2015-12-22,152.00,154.00,152.00,152.00,0.00,2840.00,431880.00,0,2
2015-12-21,153.00,156.00,152.00,152.00,0.00,3870.00,589390.00,0,3
2015-12-20,154.00,156.00,153.00,153.00,0.00,781.00,120736.00,0,4
2015-12-17,156.00,154.00,153.00,154.00,0.00,740.00,113260.00,0,5
2015-12-16,150.00,156.00,150.00,156.00,0.00,1740.00,263520.00,0,6
2015-12-15,151.00,150.00,150.00,150.00,0.00,240.00,36000.00,0,7
2015-12-14,151.00,154.00,148.00,151.00,0.00,5200.00,776680.00,0,8
2015-12-13,154.00,151.00,151.00,151.00,0.00,20.00,3020.00,0,9
2015-12-10,160.00,162.00,154.00,154.00,0.00,4600.00,721200.00,0,10
2015-12-09,150.00,162.00,150.00,160.00,0.00,9100.00,1398170.00,0,11
2015-12-08,148.00,151.00,146.00,150.00,0.00,2920.00,436650.00,0,12
2015-12-07,153.00,151.00,148.00,148.00,0.00,11564.00,1714212.00,0,13
2015-12-06,150.00,153.00,150.00,153.00,0.00,1600.00,241700.00,0,14
2015-12-03,151.00,150.00,150.00,150.00,0.00,250.00,37500.00,0,15
2015-12-02,147.00,151.00,147.00,151.00,0.00,740.00,110900.00,0,16
2015-12-01,142.00,150.00,144.00,147.00,0.00,1455.00,214020.00,0,17
2015-11-30,139.00,142.00,140.00,142.00,0.00,370.00,52300.00,0,18
2015-11-29,145.00,143.00,139.00,139.00,0.00,600.00,84300.00,0,19
2015-11-26,147.00,145.00,143.00,145.00,0.00,530.00,76790.00,0,20
2015-11-25,150.00,147.00,147.00,147.00,0.00,110.00,16170.00,0,21
2015-11-24,151.00,155.00,150.00,150.00,0.00,2540.00,383200.00,0,22
2015-11-23,154.00,153.00,151.00,151.00,0.00,640.00,97040.00,0,23
2015-11-22,157.00,155.00,154.00,154.00,0.00,800.00,123400.00,0,24
2015-11-10,160.00,157.00,157.00,157.00,0.00,150.00,23550.00,0,25
2015-11-09,158.00,160.00,157.00,160.00,0.00,1358.00,216306.00,0,26
2015-11-08,161.00,158.00,158.00,158.00,0.00,100.00,15800.00,0,27
2015-11-02,155.00,161.00,158.00,161.00,0.00,285.00,45111.00,0,28
2015-11-01,155.00,155.00,152.00,155.00,0.00,160.00,24500.00,0,29
2015-10-28,158.00,156.00,155.00,155.00,0.00,1350.00,209400.00,0,30
2015-10-27,160.00,158.00,158.00,158.00,0.00,300.00,47400.00,0,31
2015-10-19,158.00,160.00,159.00,160.00,0.00,1600.00,255400.00,0,32
2015-10-18,160.00,158.00,158.00,158.00,0.00,60.00,9480.00,0,33
2015-10-15,161.00,161.00,160.00,160.00,0.00,3020.00,483700.00,0,34
2015-10-14,161.00,161.00,161.00,161.00,0.00,120.00,19320.00,0,35
2015-10-11,166.00,163.00,160.00,161.00,0.00,3510.00,562300.00,0,36
2015-10-08,164.00,166.00,163.00,166.00,0.00,600.00,98100.00,0,37
2015-10-07,170.00,167.00,164.00,164.00,0.00,430.00,71220.00,0,38
2015-10-06,170.00,171.00,166.00,170.00,0.00,1210.00,204390.00,0,39
2015-10-05,170.00,170.00,167.00,170.00,0.00,3564.00,603645.00,0,40
2015-10-04,170.00,172.00,170.00,170.00,0.00,2546.00,435500.00,0,41
2015-10-01,174.00,172.00,167.00,170.00,0.00,6839.00,1163390.00,0,42
2015-09-30,175.00,178.00,169.00,174.00,0.00,2940.00,510260.00,0,43
2015-09-29,168.00,175.00,168.00,175.00,0.00,4218.00,713720.00,0,44
2015-09-28,173.00,170.00,168.00,168.00,0.00,1548.00,260772.00,0,45
2015-09-24,171.00,173.00,170.00,173.00,0.00,2820.00,481310.00,0,46
2015-09-23,167.00,174.00,170.00,171.00,0.00,13530.00,2318090.00,0,47
2015-09-22,173.00,173.00,167.00,167.00,0.00,412.00,69074.00,0,48
2015-09-17,172.00,175.00,169.00,173.00,0.00,13170.00,2267120.00,0,49
2015-09-16,170.00,175.00,167.00,172.00,0.00,13750.00,2353530.00,0,50
2015-09-15,167.00,173.00,167.00,170.00,0.00,4240.00,721610.00,0,51
2015-09-14,170.00,170.00,167.00,167.00,0.00,700.00,118400.00,0,52
2015-09-13,169.00,170.00,167.00,170.00,0.00,530.00,88810.00,0,53
2015-09-10,166.00,169.00,166.00,169.00,0.00,220.00,37120.00,0,54
2015-09-09,163.00,166.00,163.00,166.00,0.00,250.00,41250.00,0,55
2015-09-08,164.00,163.00,163.00,163.00,0.00,1270.00,207010.00,0,56
2015-09-07,162.00,164.00,164.00,164.00,0.00,478.00,78392.00,0,57
2015-09-06,165.00,171.00,162.00,162.00,0.00,7350.00,1219000.00,0,58
2015-09-03,171.00,170.00,165.00,165.00,0.00,3271.00,544820.00,0,59
2015-09-02,165.00,171.00,164.00,171.00,0.00,1618.00,268072.00,0,60
2015-09-01,166.00,172.00,165.00,165.00,0.00,6342.00,1067882.00,0,61
2015-08-31,168.00,167.00,164.00,166.00,0.00,1940.00,322830.00,0,62
2015-08-27,167.00,170.00,164.00,168.00,0.00,7870.00,1313450.00,0,63
2015-08-26,170.00,170.00,167.00,167.00,0.00,3290.00,552660.00,0,64
2015-08-25,167.00,170.00,159.00,170.00,0.00,2970.00,491160.00,0,65
2015-08-24,162.00,177.00,165.00,167.00,0.00,12040.00,2042430.00,0,66
2015-08-23,168.00,171.00,162.00,162.00,0.00,6083.00,1013651.00,0,67
2015-08-20,170.00,173.00,168.00,168.00,0.00,3300.00,561400.00,0,68
2015-08-19,164.00,170.00,165.00,170.00,0.00,8550.00,1430700.00,0,69
2015-08-18,162.00,166.00,164.00,164.00,0.00,4420.00,727840.00,0,70
2015-08-17,162.00,165.00,162.00,162.00,0.00,1040.00,168600.00,0,71
2015-08-16,162.00,162.00,160.00,162.00,0.00,240.00,38440.00,0,72
2015-08-13,163.00,165.00,160.00,162.00,0.00,3011.00,491520.00,0,73
2015-08-12,164.00,164.00,162.00,163.00,0.00,1600.00,261200.00,0,74
2015-08-11,167.00,164.00,164.00,164.00,0.00,40.00,6560.00,0,75
2015-08-10,165.00,167.00,167.00,167.00,0.00,1500.00,250500.00,0,76
2015-08-09,165.00,168.00,165.00,165.00,0.00,930.00,155500.00,0,77
2015-08-06,162.00,173.00,165.00,165.00,0.00,11290.00,1914950.00,0,78
2015-08-05,171.00,168.00,162.00,162.00,0.00,4550.00,747900.00,0,79
2015-08-04,167.00,171.00,165.00,171.00,0.00,5810.00,971940.00,0,80
2015-08-03,164.00,167.00,164.00,167.00,0.00,6050.00,1004470.00,0,81
2015-08-02,167.00,167.00,164.00,164.00,0.00,1700.00,281800.00,0,82
2015-07-30,164.00,167.00,164.00,167.00,0.00,280.00,45980.00,0,83
2015-07-29,167.00,177.00,164.00,164.00,0.00,15516.00,2651972.00,0,84
2015-07-28,174.00,177.00,167.00,167.00,0.00,4950.00,854910.00,0,85
2015-07-27,193.00,196.00,174.00,174.00,0.00,16403.00,3039245.00,0,86
2015-07-26,176.00,193.00,179.00,193.00,0.00,10406.00,2000778.00,0,87
2015-07-23,164.00,176.00,161.00,176.00,0.00,5510.00,913160.00,0,88
2015-07-22,155.00,164.00,158.00,164.00,0.00,1750.00,280890.00,0,89
2015-07-16,152.00,155.00,155.00,155.00,0.00,60.00,9300.00,0,90
2015-07-15,149.00,152.00,149.00,152.00,0.00,930.00,139600.00,0,91
2015-07-14,146.00,149.00,146.00,149.00,0.00,180.00,26490.00,0,92
2015-07-13,150.00,150.00,146.00,146.00,0.00,6991.00,1027797.00,0,93
2015-07-12,151.00,150.00,150.00,150.00,0.00,40.00,6000.00,0,94
2015-07-09,149.00,153.00,150.00,151.00,0.00,2660.00,400960.00,0,95
2015-07-08,154.00,151.00,149.00,149.00,0.00,1880.00,281720.00,0,96
2015-07-07,155.00,154.00,152.00,154.00,0.00,680.00,103540.00,0,97
2015-07-06,163.00,160.00,155.00,155.00,0.00,5250.00,829250.00,0,98
2015-06-28,166.00,166.00,163.00,163.00,0.00,590.00,96770.00,0,99
2015-06-25,172.00,169.00,166.00,166.00,0.00,950.00,159200.00,0,100
2015-06-09,160.00,176.00,163.00,172.00,0.00,2290.00,397770.00,0,101
2015-06-07,159.00,160.00,160.00,160.00,0.00,200.00,32000.00,0,102
2015-06-03,154.00,159.00,151.00,159.00,0.00,6400.00,987200.00,0,103
2015-06-02,160.00,157.00,154.00,154.00,0.00,40.00,6220.00,0,104
2015-05-26,162.00,160.00,159.00,160.00,0.00,70.00,11190.00,0,105
2015-04-23,168.00,169.00,156.00,162.00,0.00,6568.00,1074428.00,0,106
2015-04-22,166.00,168.00,160.00,168.00,0.00,6960.00,1148390.00,0,107
2015-04-21,167.00,170.00,158.00,166.00,0.00,14865.00,2463220.00,0,108
2015-04-20,158.00,168.00,160.00,167.00,0.00,20586.00,3374515.00,0,109
2015-04-19,156.00,161.00,150.00,158.00,0.00,31023.00,4730828.00,0,110
2015-04-16,158.00,159.00,154.00,156.00,0.00,16705.00,2594885.00,0,111
2015-04-15,162.00,161.00,158.00,158.00,0.00,4650.00,740740.00,0,112
2015-04-13,164.00,162.00,156.00,162.00,0.00,7560.00,1218270.00,0,113
2015-04-12,164.00,167.00,161.00,164.00,0.00,4790.00,780100.00,0,114
2015-04-09,158.00,169.00,156.00,164.00,0.00,14700.00,2374230.00,0,115
2015-04-08,158.00,158.00,153.00,158.00,0.00,8980.00,1407690.00,0,116
2015-04-07,153.00,158.00,152.00,158.00,0.00,1210.00,186850.00,0,117
2015-04-06,154.00,154.00,150.00,153.00,0.00,730.00,111280.00,0,118
2015-04-05,157.00,156.00,150.00,154.00,0.00,5880.00,888980.00,0,119
2015-04-02,159.00,162.00,154.00,157.00,0.00,5921.00,926536.00,0,120
2015-04-01,157.00,160.00,158.00,159.00,0.00,570.00,90300.00,0,121
2015-03-31,155.00,158.00,156.00,157.00,0.00,990.00,155440.00,0,122
2015-03-30,157.00,156.00,152.00,155.00,0.00,13990.00,2144770.00,0,123
2015-03-29,156.00,159.00,153.00,157.00,0.00,3170.00,497490.00,0,124
2015-03-26,158.00,159.00,153.00,156.00,0.00,13465.00,2077865.00,0,125
2015-03-25,159.00,160.00,155.00,158.00,0.00,16430.00,2574940.00,0,126
2015-03-24,156.00,159.00,152.00,159.00,0.00,3790.00,589420.00,0,127
2015-03-23,156.00,159.00,154.00,156.00,0.00,5380.00,840470.00,0,128
2015-03-22,156.00,170.00,153.00,156.00,0.00,12343.00,1967308.00,0,129
2015-03-19,158.00,160.00,156.00,156.00,0.00,2800.00,438060.00,0,130
2015-03-18,159.00,158.00,153.00,158.00,0.00,490.00,76380.00,0,131
2015-03-17,158.00,159.00,154.00,159.00,0.00,1501.00,235554.00,0,132
2015-03-16,160.00,160.00,152.00,158.00,0.00,686.00,107292.00,0,133
2015-03-15,158.00,160.00,158.00,160.00,0.00,1150.00,182520.00,0,134
2015-03-12,160.00,161.00,157.00,158.00,0.00,5108.00,810394.00,0,135
2015-03-11,166.00,163.00,160.00,160.00,0.00,1488.00,239280.00,0,136
2015-03-10,167.00,167.00,162.00,166.00,0.00,11150.00,1839500.00,0,137
2015-03-09,165.00,172.00,165.00,167.00,0.00,7985.00,1331790.00,0,138
2015-03-04,166.00,167.00,164.00,165.00,0.00,2490.00,409920.00,0,139
2015-03-03,167.00,166.00,163.00,166.00,0.00,4860.00,799250.00,0,140
2015-03-02,159.00,168.00,160.00,167.00,0.00,6080.00,1008790.00,0,141
2015-03-01,157.00,162.00,158.00,159.00,0.00,19669.00,3147282.00,0,142
2015-02-26,151.00,161.00,150.00,157.00,0.00,5990.00,932730.00,0,143
2015-02-25,153.00,154.00,151.00,151.00,0.00,2600.00,396950.00,0,144
2015-02-24,154.00,154.00,151.00,153.00,0.00,1610.00,245240.00,0,145
2015-02-23,154.00,154.00,150.00,154.00,0.00,3070.00,465700.00,0,146
2015-02-22,153.00,154.00,150.00,154.00,0.00,5902.00,894261.00,0,147
2015-02-18,153.00,157.00,152.00,153.00,0.00,5711.00,873342.00,0,148
2015-02-16,154.00,153.00,150.00,153.00,0.00,10797.00,1639574.00,0,149
2015-02-15,158.00,158.00,152.00,154.00,0.00,3310.00,513470.00,0,150
2015-02-12,158.00,158.00,155.00,158.00,0.00,4488.00,706066.00,0,151
2015-02-11,156.00,158.00,150.00,158.00,0.00,14400.00,2179490.00,0,152
2015-02-10,155.00,160.00,153.00,156.00,0.00,5650.00,882470.00,0,153
2015-02-09,160.00,160.00,154.00,155.00,0.00,10016.00,1570088.00,0,154
2015-02-08,156.00,160.00,157.00,160.00,0.00,3593.00,574250.00,0,155
2015-02-05,161.00,158.00,152.00,156.00,0.00,710.00,109510.00,0,156
2015-02-04,162.00,165.00,156.00,161.00,0.00,2766.00,443950.00,0,157
2015-02-03,164.00,162.00,157.00,162.00,0.00,3250.00,518300.00,0,158
2015-02-02,164.00,166.00,161.00,164.00,0.00,3863.00,625496.00,0,159
2015-02-01,162.00,167.00,162.00,164.00,0.00,5717.00,934138.00,0,160
2015-01-29,165.00,166.00,159.00,162.00,0.00,1915.00,311920.00,0,161
2015-01-28,165.00,168.00,163.00,165.00,0.00,9299.00,1529236.00,0,162
2015-01-27,166.00,171.00,163.00,165.00,0.00,13249.00,2206494.00,0,163
2015-01-26,174.00,177.00,165.00,166.00,0.00,11410.00,1943270.00,0,164
2015-01-25,159.00,174.00,162.00,174.00,0.00,43076.00,7210046.00,0,165
2015-01-22,161.00,160.00,153.00,159.00,0.00,7000.00,1095330.00,0,166
2015-01-20,165.00,164.00,157.00,161.00,0.00,20586.00,3273384.00,0,167
2015-01-19,158.00,172.00,158.00,165.00,0.00,17388.00,2847918.00,0,168
2015-01-18,157.00,162.00,155.00,158.00,0.00,12190.00,1942173.00,0,169
2015-01-14,155.00,159.00,144.00,157.00,0.00,20675.00,3131221.00,0,170
2015-01-13,141.00,155.00,142.00,155.00,0.00,22258.00,3304762.00,0,171
2015-01-12,139.00,143.00,134.00,141.00,0.00,8745.00,1211570.00,0,172
2015-01-11,134.00,139.00,130.00,139.00,0.00,26050.00,3520160.00,0,173
2015-01-08,135.00,137.00,131.00,134.00,0.00,1860.00,247200.00,0,174
2015-01-07,130.00,135.00,128.00,135.00,0.00,8550.00,1122410.00,0,175
2015-01-06,129.00,130.00,128.00,130.00,0.00,9830.00,1259510.00,0,176
2015-01-05,129.00,131.00,125.00,129.00,0.00,13020.00,1641660.00,0,177
2015-01-04,130.00,134.00,128.00,129.00,0.00,10750.00,1401060.00,0,178
2015-01-01,130.00,134.00,128.00,130.00,0.00,13408.00,1754892.00,0,179
2014-12-31,128.00,130.00,125.00,130.00,0.00,21221.00,2706399.00,0,180
2014-12-29,131.00,129.00,123.00,128.00,0.00,14270.00,1816300.00,0,181
2014-12-28,123.00,131.00,122.00,131.00,0.00,12474.00,1561106.00,0,182
2014-12-24,121.00,127.00,117.00,123.00,0.00,4815.00,588825.00,0,183
2014-12-23,123.00,121.00,119.00,121.00,0.00,660.00,79740.00,0,184
2014-12-22,118.00,123.00,120.00,123.00,0.00,420.00,51400.00,0,185
2014-12-21,125.00,124.00,118.00,118.00,0.00,3740.00,447760.00,0,186
2014-12-18,125.00,125.00,122.00,125.00,0.00,1290.00,158650.00,0,187
2014-12-17,126.00,125.00,124.00,125.00,0.00,270.00,33500.00,0,188
2014-12-16,128.00,127.00,122.00,126.00,0.00,1510.00,190300.00,0,189
2014-12-15,129.00,133.00,128.00,128.00,0.00,8851.00,1142809.00,0,190
2014-12-14,127.00,133.00,129.00,129.00,0.00,4830.00,630930.00,0,191
2014-12-11,129.00,130.00,123.00,127.00,0.00,1340.00,166310.00,0,192
2014-12-10,126.00,129.00,124.00,129.00,0.00,5270.00,659840.00,0,193
2014-12-09,126.00,126.00,122.00,126.00,0.00,400.00,49000.00,0,194
2014-12-08,118.00,126.00,116.00,126.00,0.00,22528.00,2694216.00,0,195
2014-12-07,120.00,118.00,117.00,118.00,0.00,3900.00,458320.00,0,196
2014-12-04,115.00,123.00,111.00,120.00,0.00,19274.00,2219276.00,0,197
2014-12-03,115.00,119.00,113.00,115.00,0.00,7830.00,902210.00,0,198
2014-12-02,117.00,116.00,113.00,115.00,0.00,3740.00,428580.00,0,199
2014-12-01,124.00,122.00,117.00,117.00,0.00,4600.00,542300.00,0,200
