published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2013-02-26,93.00,93.00,93.00,93.00,0.00,110.00,10230.00,0,1
2013-02-24,94.00,93.00,93.00,93.00,0.00,10.00,930.00,0,2
2013-02-21,94.00,96.00,94.00,94.00,0.00,342.00,32382.00,0,3
2013-02-20,95.00,95.00,94.00,94.00,0.00,1126.00,106344.00,0,4
2013-02-19,96.00,95.00,95.00,95.00,0.00,20.00,1900.00,0,5
2013-01-31,97.00,96.00,96.00,96.00,0.00,60.00,5760.00,0,6
2013-01-02,101.00,103.00,97.00,97.00,0.00,320.00,32250.00,0,7
2012-12-20,100.00,101.00,101.00,101.00,0.00,90.00,9090.00,0,8
2012-12-13,97.00,100.00,98.00,100.00,0.00,100.00,9880.00,0,9
2012-12-12,95.00,97.00,96.00,97.00,0.00,104.00,10034.00,0,10
2012-12-10,93.00,97.00,94.00,95.00,0.00,180.00,17080.00,0,11
2012-12-09,93.00,93.00,92.00,93.00,0.00,220.00,20320.00,0,12
2012-12-05,92.00,93.00,93.00,93.00,0.00,80.00,7440.00,0,13
2012-11-29,93.00,94.00,92.00,92.00,0.00,154.00,14236.00,0,14
2012-11-28,88.00,93.00,89.00,93.00,0.00,1060.00,95360.00,0,15
2012-11-27,85.00,88.00,86.00,88.00,0.00,53.00,4624.00,0,16
2012-11-26,82.00,85.00,83.00,85.00,0.00,134.00,11250.00,0,17
2012-11-21,82.00,82.00,82.00,82.00,0.00,30.00,2460.00,0,18
2012-11-18,81.00,82.00,82.00,82.00,0.00,100.00,8200.00,0,19
2012-11-12,81.00,81.00,81.00,81.00,0.00,210.00,17010.00,0,20
2012-11-05,82.00,81.00,81.00,81.00,0.00,30.00,2430.00,0,21
2012-10-30,82.00,82.00,82.00,82.00,0.00,70.00,5740.00,0,22
2012-10-18,82.00,82.00,81.00,82.00,0.00,63.00,5126.00,0,23
2012-10-15,83.00,82.00,81.00,82.00,0.00,390.00,31770.00,0,24
2012-10-14,83.00,83.00,83.00,83.00,0.00,120.00,9960.00,0,25
2012-10-08,84.00,83.00,83.00,83.00,0.00,60.00,4980.00,0,26
2012-10-07,83.00,84.00,84.00,84.00,0.00,160.00,13440.00,0,27
2012-10-03,83.00,83.00,83.00,83.00,0.00,70.00,5810.00,0,28
2012-09-26,78.00,81.00,79.00,81.00,0.00,70.00,5620.00,0,29
2012-09-24,78.00,78.00,78.00,78.00,0.00,20.00,1560.00,0,30
2012-09-20,79.00,78.00,78.00,78.00,0.00,90.00,7020.00,0,31
2012-09-13,80.00,79.00,79.00,79.00,0.00,290.00,22910.00,0,32
2012-09-11,86.00,85.00,80.00,80.00,0.00,360.00,29900.00,0,33
2012-09-05,85.00,86.00,85.00,86.00,0.00,20.00,1710.00,0,34
2012-09-04,84.00,85.00,85.00,85.00,0.00,20.00,1700.00,0,35
2012-09-03,83.00,84.00,82.00,84.00,0.00,250.00,20640.00,0,36
2012-09-02,83.00,83.00,83.00,83.00,0.00,20.00,1660.00,0,37
2012-08-30,83.00,83.00,82.00,83.00,0.00,50.00,4120.00,0,38
2012-08-29,82.00,83.00,83.00,83.00,0.00,200.00,16600.00,0,39
2012-08-28,83.00,83.00,81.00,82.00,0.00,1590.00,129580.00,0,40
2012-08-26,82.00,83.00,83.00,83.00,0.00,30.00,2490.00,0,41
2012-08-23,85.00,84.00,82.00,82.00,0.00,90.00,7480.00,0,42
2012-08-16,84.00,85.00,85.00,85.00,0.00,10.00,850.00,0,43
2012-08-15,86.00,85.00,84.00,84.00,0.00,420.00,35610.00,0,44
2012-08-14,87.00,86.00,86.00,86.00,0.00,100.00,8600.00,0,45
2012-08-13,88.00,87.00,87.00,87.00,0.00,20.00,1740.00,0,46
2012-08-08,89.00,88.00,88.00,88.00,0.00,70.00,6160.00,0,47
2012-08-07,85.00,89.00,86.00,89.00,0.00,590.00,51400.00,0,48
2012-08-06,86.00,85.00,85.00,85.00,0.00,60.00,5100.00,0,49
2012-08-05,86.00,86.00,85.00,86.00,0.00,70.00,5980.00,0,50
2012-08-01,84.00,86.00,85.00,86.00,0.00,20.00,1710.00,0,51
2012-07-31,85.00,84.00,84.00,84.00,0.00,70.00,5880.00,0,52
2012-07-29,86.00,85.00,85.00,85.00,0.00,70.00,5950.00,0,53
2012-07-26,86.00,86.00,85.00,86.00,0.00,530.00,45220.00,0,54
2012-07-25,86.00,86.00,86.00,86.00,0.00,20.00,1720.00,0,55
2012-07-19,85.00,86.00,86.00,86.00,0.00,50.00,4300.00,0,56
2012-07-18,85.00,86.00,85.00,85.00,0.00,30.00,2570.00,0,57
2012-07-17,84.00,85.00,85.00,85.00,0.00,50.00,4250.00,0,58
2012-07-16,83.00,84.00,83.00,84.00,0.00,50.00,4180.00,0,59
2012-07-12,82.00,83.00,82.00,83.00,0.00,390.00,32340.00,0,60
2012-07-11,82.00,82.00,82.00,82.00,0.00,60.00,4920.00,0,61
2012-07-10,83.00,82.00,82.00,82.00,0.00,100.00,8200.00,0,62
2012-07-09,84.00,83.00,83.00,83.00,0.00,110.00,9130.00,0,63
2012-07-05,83.00,84.00,84.00,84.00,0.00,200.00,16800.00,0,64
2012-07-04,87.00,86.00,83.00,83.00,0.00,980.00,82290.00,0,65
2012-07-03,96.00,95.00,87.00,87.00,0.00,220.00,19640.00,0,66
2012-06-19,96.00,96.00,96.00,96.00,0.00,30.00,2880.00,0,67
2012-06-18,97.00,96.00,96.00,96.00,0.00,10.00,960.00,0,68
2012-06-11,98.00,97.00,97.00,97.00,0.00,570.00,55290.00,0,69
2012-05-20,100.00,98.00,98.00,98.00,0.00,60.00,5880.00,0,70
2012-05-17,102.00,100.00,100.00,100.00,0.00,100.00,10000.00,0,71
2012-05-10,100.00,102.00,102.00,102.00,0.00,70.00,7140.00,0,72
2012-05-09,99.00,100.00,100.00,100.00,0.00,10.00,1000.00,0,73
2012-04-30,98.00,99.00,98.00,99.00,0.00,140.00,13800.00,0,74
2012-04-29,94.00,98.00,98.00,98.00,0.00,40.00,3920.00,0,75
2012-04-12,93.00,94.00,94.00,94.00,0.00,100.00,9400.00,0,76
2012-04-10,93.00,93.00,93.00,93.00,0.00,40.00,3720.00,0,77
2012-04-09,94.00,93.00,93.00,93.00,0.00,30.00,2790.00,0,78
2012-04-08,91.00,94.00,92.00,94.00,0.00,100.00,9270.00,0,79
2012-04-05,90.00,91.00,91.00,91.00,0.00,40.00,3640.00,0,80
2012-04-04,91.00,90.00,90.00,90.00,0.00,40.00,3600.00,0,81
2012-04-02,98.00,92.00,90.00,91.00,0.00,290.00,26560.00,0,82
2012-03-25,102.00,98.00,98.00,98.00,0.00,190.00,18620.00,0,83
2012-03-21,104.00,105.00,102.00,102.00,0.00,2960.00,303890.00,0,84
2012-03-20,105.00,105.00,102.00,104.00,0.00,3970.00,414370.00,0,85
2012-03-19,103.00,106.00,102.00,105.00,0.00,3050.00,316310.00,0,86
2012-03-18,103.00,106.00,100.00,103.00,0.00,3200.00,329740.00,0,87
2012-03-15,101.00,106.00,103.00,103.00,0.00,1320.00,136800.00,0,88
2012-03-14,100.00,103.00,99.00,101.00,0.00,2180.00,221190.00,0,89
2012-03-13,98.00,102.00,99.00,100.00,0.00,1840.00,184190.00,0,90
2012-03-12,97.00,98.00,98.00,98.00,0.00,950.00,93100.00,0,91
2012-03-11,99.00,98.00,97.00,97.00,0.00,110.00,10730.00,0,92
2012-03-05,101.00,102.00,98.00,99.00,0.00,350.00,34620.00,0,93
2012-03-04,100.00,101.00,100.00,101.00,0.00,170.00,17110.00,0,94
2012-03-01,100.00,100.00,100.00,100.00,0.00,130.00,13000.00,0,95
2012-02-29,98.00,100.00,99.00,100.00,0.00,130.00,12990.00,0,96
2012-02-28,100.00,102.00,98.00,98.00,0.00,370.00,36580.00,0,97
2012-02-27,100.00,100.00,100.00,100.00,0.00,50.00,5000.00,0,98
2012-02-26,98.00,100.00,98.00,100.00,0.00,740.00,73700.00,0,99
2012-02-23,100.00,98.00,98.00,98.00,0.00,620.00,60760.00,0,100
2012-02-21,97.00,100.00,98.00,100.00,0.00,620.00,61790.00,0,101
2012-02-16,97.00,97.00,96.00,97.00,0.00,430.00,41650.00,0,102
2012-02-15,97.00,97.00,96.00,97.00,0.00,160.00,15480.00,0,103
2012-02-14,97.00,97.00,97.00,97.00,0.00,110.00,10670.00,0,104
2012-02-12,97.00,97.00,96.00,97.00,0.00,130.00,12490.00,0,105
2012-02-09,98.00,99.00,97.00,97.00,0.00,150.00,14760.00,0,106
2012-02-08,99.00,100.00,98.00,98.00,0.00,200.00,19900.00,0,107
2012-02-07,101.00,101.00,99.00,99.00,0.00,280.00,28140.00,0,108
2012-02-06,101.00,101.00,101.00,101.00,0.00,20.00,2020.00,0,109
2012-02-05,102.00,103.00,101.00,101.00,0.00,130.00,13260.00,0,110
2012-02-02,100.00,102.00,98.00,102.00,0.00,310.00,30800.00,0,111
2012-02-01,100.00,102.00,99.00,100.00,0.00,1260.00,124990.00,0,112
2012-01-31,105.00,104.00,100.00,100.00,0.00,410.00,41900.00,0,113
2012-01-29,108.00,109.00,105.00,105.00,0.00,110.00,11850.00,0,114
2012-01-26,111.00,109.00,107.00,108.00,0.00,210.00,22650.00,0,115
2012-01-25,107.00,111.00,107.00,111.00,0.00,440.00,47480.00,0,116
2012-01-23,105.00,107.00,107.00,107.00,0.00,430.00,46010.00,0,117
2012-01-22,103.00,106.00,101.00,105.00,0.00,190.00,19700.00,0,118
2012-01-19,100.00,103.00,102.00,103.00,0.00,110.00,11280.00,0,119
2012-01-18,99.00,100.00,99.00,100.00,0.00,120.00,11970.00,0,120
2012-01-17,99.00,99.00,99.00,99.00,0.00,20.00,1980.00,0,121
2012-01-16,98.00,99.00,99.00,99.00,0.00,30.00,2970.00,0,122
2012-01-12,99.00,100.00,98.00,98.00,0.00,120.00,11830.00,0,123
2012-01-11,100.00,100.00,99.00,99.00,0.00,180.00,17970.00,0,124
2012-01-10,102.00,103.00,100.00,100.00,0.00,340.00,34250.00,0,125
2012-01-09,104.00,105.00,105.00,105.00,0.00,20.00,2100.00,0,126
2012-01-08,102.00,104.00,101.00,104.00,0.00,750.00,77790.00,0,127
2012-01-05,101.00,103.00,101.00,102.00,0.00,660.00,67180.00,0,128
2012-01-04,102.00,101.00,100.00,101.00,0.00,60.00,6050.00,0,129
2012-01-03,104.00,102.00,102.00,102.00,0.00,120.00,12240.00,0,130
2012-01-01,102.00,104.00,104.00,104.00,0.00,90.00,9360.00,0,131
2011-12-29,102.00,102.00,102.00,102.00,0.00,80.00,8160.00,0,132
2011-12-28,100.00,102.00,102.00,102.00,0.00,30.00,3060.00,0,133
2011-12-27,99.00,100.00,100.00,100.00,0.00,110.00,11000.00,0,134
2011-12-26,100.00,99.00,99.00,99.00,0.00,140.00,13860.00,0,135
2011-12-22,100.00,100.00,99.00,100.00,0.00,80.00,7990.00,0,136
2011-12-21,100.00,100.00,100.00,100.00,0.00,220.00,22000.00,0,137
2011-12-20,98.00,100.00,99.00,100.00,0.00,150.00,14900.00,0,138
