published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-02-06,170.00,170.00,167.00,168.00,0.00,2080.00,351690.00,0,1
2017-02-05,173.00,173.00,167.00,170.00,0.00,5640.00,954990.00,0,2
2017-02-02,172.00,178.00,170.00,173.00,0.00,13593.00,2349409.00,0,3
2017-02-01,161.00,175.00,164.00,172.00,0.00,24263.00,4162026.00,0,4
2017-01-31,159.00,165.00,153.00,161.00,0.00,16733.00,2680290.00,0,5
2017-01-30,168.00,168.00,159.00,159.00,0.00,7960.00,1284700.00,0,6
2017-01-26,170.00,172.00,162.00,168.00,0.00,13616.00,2277576.00,0,7
2017-01-25,178.00,181.00,168.00,170.00,0.00,13380.00,2333645.00,0,8
2017-01-24,179.00,181.00,175.00,178.00,0.00,13563.00,2406291.00,0,9
2017-01-23,179.00,183.00,179.00,179.00,0.00,12846.00,2316856.00,0,10
2017-01-22,179.00,182.00,178.00,179.00,0.00,10564.00,1895456.00,0,11
2017-01-19,179.00,180.00,177.00,179.00,0.00,6660.00,1190340.00,0,12
2017-01-18,180.00,182.00,175.00,179.00,0.00,28463.00,5054186.00,0,13
2017-01-17,180.00,181.00,177.00,180.00,0.00,29152.00,5240068.00,0,14
2017-01-16,184.00,184.00,177.00,180.00,0.00,15483.00,2776474.00,0,15
2017-01-15,185.00,185.00,181.00,184.00,0.00,4511.00,823051.00,0,16
2017-01-12,183.00,185.00,179.00,185.00,0.00,3231.00,585063.00,0,17
2017-01-11,184.00,184.00,182.00,183.00,0.00,2431.00,444104.00,0,18
2017-01-10,180.00,186.00,183.00,184.00,0.00,2770.00,510710.00,0,19
2017-01-09,180.00,187.00,180.00,180.00,0.00,12672.00,2310768.00,0,20
2017-01-08,186.00,185.00,180.00,180.00,0.00,2981.00,542115.00,0,21
2017-01-05,185.00,190.00,183.00,186.00,0.00,24417.00,4574425.00,0,22
2017-01-04,173.00,185.00,175.00,185.00,0.00,29911.00,5410430.00,0,23
2017-01-03,180.00,181.00,173.00,173.00,0.00,14050.00,2489450.00,0,24
2017-01-02,175.00,181.00,175.00,180.00,0.00,14320.00,2540090.00,0,25
2017-01-01,176.00,180.00,174.00,175.00,0.00,18672.00,3285520.00,0,26
2016-12-29,176.00,179.00,171.00,176.00,0.00,13541.00,2371758.00,0,27
2016-12-28,174.00,178.00,164.00,176.00,0.00,15360.00,2618580.00,0,28
2016-12-27,176.00,176.00,168.00,174.00,0.00,9400.00,1609465.00,0,29
2016-12-26,181.00,180.00,175.00,176.00,0.00,5720.00,1011598.00,0,30
2016-12-22,180.00,184.00,179.00,181.00,0.00,5661.00,1022124.00,0,31
2016-12-21,180.00,181.00,175.00,180.00,0.00,9001.00,1603840.00,0,32
2016-12-20,181.00,183.00,179.00,180.00,0.00,8832.00,1599130.00,0,33
2016-12-19,184.00,186.00,181.00,181.00,0.00,2458.00,452006.00,0,34
2016-12-18,184.00,186.00,183.00,184.00,0.00,6147.00,1130307.00,0,35
2016-12-15,186.00,186.00,182.00,184.00,0.00,12566.00,2313952.00,0,36
2016-12-14,186.00,188.00,180.00,186.00,0.00,14210.00,2599470.00,0,37
2016-12-12,185.00,188.00,179.00,186.00,0.00,28084.00,5193772.00,0,38
2016-12-11,185.00,188.00,182.00,185.00,0.00,3515.00,647825.00,0,39
2016-12-08,186.00,188.00,183.00,185.00,0.00,18952.00,3522240.00,0,40
2016-12-07,188.00,190.00,184.00,186.00,0.00,5200.00,969410.00,0,41
2016-12-06,189.00,188.00,185.00,188.00,0.00,5095.00,954229.00,0,42
2016-12-05,190.00,193.00,186.00,189.00,0.00,6982.00,1317270.00,0,43
2016-12-04,193.00,196.00,188.00,190.00,0.00,11454.00,2171410.00,0,44
2016-12-01,196.00,199.00,189.00,193.00,0.00,31321.00,6016992.00,0,45
2016-11-30,188.00,199.00,190.00,196.00,0.00,26084.00,5030683.00,0,46
2016-11-29,188.00,194.00,180.00,188.00,0.00,27857.00,5204947.00,0,47
2016-11-28,179.00,189.00,164.00,188.00,0.00,14007.00,2450395.00,0,48
2016-11-27,183.00,183.00,174.00,179.00,0.00,14366.00,2550918.00,0,49
2016-11-24,190.00,199.00,179.00,183.00,0.00,30167.00,5554459.00,0,50
2016-11-23,197.00,197.00,185.00,190.00,0.00,27646.00,5230953.00,0,51
2016-11-22,195.00,201.00,191.00,197.00,0.00,29773.00,5872742.00,0,52
2016-11-21,195.00,205.00,183.00,195.00,0.00,15360.00,2976913.00,0,53
2016-11-20,208.00,205.00,188.00,195.00,0.00,36830.00,7199320.00,0,54
2016-11-17,220.00,220.00,204.00,208.00,0.00,31708.00,6667132.00,0,55
2016-11-16,223.00,222.00,217.00,220.00,0.00,37178.00,8155675.00,0,56
2016-11-15,224.00,227.00,220.00,223.00,0.00,29862.00,6644488.00,0,57
2016-11-14,225.00,228.00,220.00,224.00,0.00,56274.00,12562742.00,0,58
2016-11-13,219.00,230.00,217.00,225.00,0.00,58688.00,13116671.00,0,59
2016-11-10,218.00,227.00,215.00,219.00,0.00,118158.00,26023684.00,0,60
2016-11-09,220.00,239.00,214.00,218.00,0.00,164608.00,36291704.00,0,61
2016-11-08,200.00,220.00,204.00,220.00,0.00,58.00,12328.00,0,62
2016-11-07,182.00,200.00,185.00,200.00,0.00,60.00,11550.00,0,63
2016-11-03,167.00,182.00,170.00,182.00,0.00,50.00,8800.00,0,64
2016-10-27,152.00,167.00,155.00,167.00,0.00,50.00,8050.00,0,65
