published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2018-07-10,251.00,251.00,231.00,231.00,-9.77,427.00,103412.00,-1,1
2018-07-09,251.00,251.00,251.00,251.00,-1.95,2.00,502.00,-1,2
2017-04-06,343.00,337.00,318.00,318.00,0.00,3602.00,1162168.00,0,3
2017-04-04,350.00,343.00,331.00,343.00,0.00,510.00,172230.00,0,4
2017-04-03,353.00,371.00,350.00,350.00,0.00,927.00,329758.00,0,5
2017-04-02,335.00,353.00,341.00,353.00,0.00,30.00,10410.00,0,6
2017-03-30,340.00,338.00,325.00,335.00,0.00,4758.00,1578231.00,0,7
2017-03-29,324.00,335.00,315.00,340.00,0.00,9922.00,3194561.00,0,8
2017-03-28,312.00,324.00,318.00,324.00,0.00,713.00,229162.00,0,9
2017-03-26,296.00,312.00,300.00,312.00,0.00,3990.00,1213134.00,0,10
2017-03-23,291.00,296.00,290.00,296.00,0.00,920.00,270676.00,0,11
2017-03-22,280.00,306.00,280.00,291.00,0.00,2591.00,764886.00,0,12
2017-03-21,265.00,280.00,265.00,280.00,0.00,2780.00,756910.00,0,13
2017-03-20,255.00,275.00,260.00,265.00,0.00,1998.00,539432.00,0,14
2017-03-19,250.00,255.00,250.00,255.00,0.00,471.00,117890.00,0,15
2017-03-16,267.00,262.00,250.00,250.00,0.00,2368.00,601968.00,0,16
2017-03-13,272.00,267.00,267.00,267.00,0.00,31.00,8277.00,0,17
2017-03-09,277.00,277.00,272.00,272.00,0.00,40.00,10980.00,0,18
2017-03-07,277.00,272.00,272.00,272.00,0.00,3.00,816.00,0,19
2017-03-06,272.00,277.00,277.00,277.00,0.00,50.00,13850.00,0,20
2017-03-05,263.00,272.00,268.00,272.00,0.00,785.00,210720.00,0,21
2017-03-02,258.00,263.00,253.00,263.00,0.00,764.00,197762.00,0,22
2017-03-01,245.00,258.00,249.00,258.00,0.00,990.00,252720.00,0,23
2017-02-28,250.00,245.00,245.00,245.00,0.00,11.00,2695.00,0,24
2017-02-26,260.00,255.00,250.00,250.00,0.00,670.00,167900.00,0,25
2017-02-23,265.00,265.00,260.00,260.00,0.00,900.00,236500.00,0,26
2017-02-22,270.00,265.00,260.00,265.00,0.00,875.00,231125.00,0,27
2017-02-21,285.00,280.00,270.00,270.00,0.00,300.00,82500.00,0,28
2017-02-20,280.00,289.00,285.00,285.00,0.00,550.00,157450.00,0,29
2017-02-19,281.00,280.00,280.00,280.00,0.00,500.00,140000.00,0,30
2017-02-16,271.00,286.00,276.00,281.00,0.00,143.00,40158.00,0,31
2017-02-15,248.00,271.00,248.00,271.00,0.00,966.00,253706.00,0,32
2017-02-14,237.00,253.00,241.00,248.00,0.00,100.00,24690.00,0,33
2017-02-13,245.00,241.00,229.00,237.00,0.00,728.00,170692.00,0,34
2017-02-12,260.00,255.00,245.00,245.00,0.00,170.00,42000.00,0,35
2017-02-09,265.00,260.00,260.00,260.00,0.00,315.00,81900.00,0,36
2017-02-08,272.00,275.00,265.00,265.00,0.00,560.00,149960.00,0,37
2017-02-07,270.00,272.00,265.00,272.00,0.00,700.00,189906.00,0,38
2017-02-06,280.00,275.00,270.00,270.00,0.00,300.00,82000.00,0,39
2017-02-05,285.00,280.00,280.00,280.00,0.00,300.00,84000.00,0,40
2017-02-02,290.00,290.00,280.00,285.00,0.00,2120.00,605560.00,0,41
2017-02-01,289.00,291.00,286.00,290.00,0.00,421.00,121711.00,0,42
2017-01-31,294.00,289.00,289.00,289.00,0.00,220.00,63580.00,0,43
2017-01-26,279.00,294.00,284.00,294.00,0.00,50.00,14400.00,0,44
2017-01-25,290.00,295.00,279.00,279.00,0.00,521.00,147259.00,0,45
2017-01-24,295.00,290.00,290.00,290.00,0.00,501.00,145290.00,0,46
2017-01-23,287.00,297.00,292.00,295.00,0.00,550.00,162350.00,0,47
2017-01-22,284.00,287.00,281.00,287.00,0.00,1745.00,493145.00,0,48
2017-01-19,273.00,286.00,273.00,284.00,0.00,717.00,199936.00,0,49
2017-01-18,275.00,278.00,272.00,273.00,0.00,208.00,56827.00,0,50
2017-01-17,275.00,277.00,270.00,275.00,0.00,936.00,255897.00,0,51
2017-01-16,285.00,281.00,275.00,275.00,0.00,758.00,209750.00,0,52
2017-01-15,290.00,285.00,285.00,285.00,0.00,100.00,28500.00,0,53
2017-01-11,285.00,290.00,285.00,290.00,0.00,166.00,47810.00,0,54
2017-01-10,280.00,290.00,280.00,285.00,0.00,665.00,189478.00,0,55
2017-01-09,280.00,280.00,280.00,280.00,0.00,193.00,54040.00,0,56
2017-01-08,285.00,285.00,280.00,280.00,0.00,668.00,190130.00,0,57
2017-01-05,290.00,300.00,285.00,285.00,0.00,987.00,287514.00,0,58
2017-01-04,291.00,290.00,290.00,290.00,0.00,670.00,194300.00,0,59
2017-01-03,299.00,296.00,291.00,291.00,0.00,170.00,49720.00,0,60
2017-01-02,299.00,299.00,294.00,299.00,0.00,68.00,20042.00,0,61
2017-01-01,289.00,299.00,288.00,299.00,0.00,360.00,104490.00,0,62
2016-12-29,300.00,305.00,289.00,289.00,0.00,456.00,134644.00,0,63
2016-12-28,285.00,300.00,285.00,300.00,0.00,226.00,66510.00,0,64
2016-12-26,280.00,285.00,280.00,285.00,0.00,135.00,37850.00,0,65
2016-12-22,280.00,280.00,275.00,280.00,0.00,992.00,274875.00,0,66
2016-12-21,286.00,283.00,280.00,280.00,0.00,571.00,160371.00,0,67
2016-12-20,291.00,286.00,286.00,286.00,0.00,60.00,17160.00,0,68
2016-12-19,295.00,291.00,285.00,291.00,0.00,442.00,127725.00,0,69
2016-12-18,300.00,300.00,290.00,295.00,0.00,215.00,63415.00,0,70
2016-12-15,289.00,300.00,290.00,300.00,0.00,690.00,201650.00,0,71
2016-12-14,290.00,300.00,289.00,289.00,0.00,360.00,105950.00,0,72
2016-12-12,290.00,293.00,285.00,290.00,0.00,1330.00,384130.00,0,73
2016-12-11,300.00,305.00,290.00,290.00,0.00,251.00,73830.00,0,74
2016-12-08,301.00,300.00,300.00,300.00,0.00,200.00,60000.00,0,75
2016-12-07,307.00,310.00,300.00,301.00,0.00,957.00,288443.00,0,76
2016-12-06,307.00,307.00,307.00,307.00,0.00,400.00,122800.00,0,77
2016-12-05,330.00,325.00,307.00,307.00,0.00,400.00,127000.00,0,78
2016-12-04,313.00,330.00,310.00,330.00,0.00,474.00,152236.00,0,79
2016-12-01,313.00,333.00,313.00,313.00,0.00,3882.00,1250518.00,0,80
2016-11-30,285.00,313.00,290.00,313.00,0.00,1222.00,368428.00,0,81
2016-11-29,261.00,285.00,266.00,285.00,0.00,483.00,132533.00,0,82
2016-11-28,261.00,261.00,256.00,261.00,0.00,110.00,28210.00,0,83
2016-11-27,272.00,268.00,261.00,261.00,0.00,1878.00,495224.00,0,84
2016-11-24,277.00,290.00,272.00,272.00,0.00,937.00,264450.00,0,85
2016-11-23,287.00,283.00,277.00,277.00,0.00,994.00,278793.00,0,86
2016-11-22,300.00,294.00,279.00,287.00,0.00,2614.00,743018.00,0,87
2016-11-21,308.00,302.00,291.00,300.00,0.00,3296.00,983566.00,0,88
2016-11-20,322.00,320.00,308.00,308.00,0.00,1031.00,325448.00,0,89
2016-11-17,334.00,328.00,322.00,322.00,0.00,1100.00,356200.00,0,90
2016-11-16,340.00,340.00,334.00,334.00,0.00,600.00,202800.00,0,91
2016-11-15,330.00,340.00,331.00,340.00,0.00,1425.00,478121.00,0,92
2016-11-14,340.00,335.00,330.00,330.00,0.00,71.00,23657.00,0,93
2016-11-13,339.00,340.00,330.00,340.00,0.00,344.00,115462.00,0,94
2016-11-10,348.00,345.00,339.00,339.00,0.00,710.00,244390.00,0,95
2016-11-09,370.00,366.00,348.00,348.00,0.00,1435.00,517416.00,0,96
2016-11-07,370.00,370.00,365.00,370.00,0.00,62.00,22785.00,0,97
2016-10-27,367.00,377.00,367.00,370.00,0.00,1693.00,625657.00,0,98
2016-10-26,372.00,367.00,353.00,367.00,0.00,1049.00,378070.00,0,99
2016-10-25,371.00,372.00,364.00,372.00,0.00,1015.00,371755.00,0,100
2016-10-24,369.00,375.00,360.00,371.00,0.00,1382.00,502030.00,0,101
2016-10-23,373.00,380.00,363.00,369.00,0.00,1310.00,483850.00,0,102
2016-10-20,366.00,380.00,373.00,373.00,0.00,360.00,134350.00,0,103
2016-10-19,370.00,366.00,366.00,366.00,0.00,200.00,73200.00,0,104
2016-10-18,356.00,377.00,363.00,370.00,0.00,11759.00,4302305.00,0,105
2016-10-17,620.00,621.00,608.00,611.00,0.00,12570.00,7722578.00,0,106
2016-10-16,625.00,631.00,602.00,620.00,0.00,6119.00,3786102.00,0,107
2016-10-06,609.00,626.00,615.00,625.00,0.00,6827.00,4243591.00,0,108
2016-10-05,600.00,610.00,599.00,609.00,0.00,5325.00,3217350.00,0,109
2016-10-04,597.00,605.00,595.00,600.00,0.00,4461.00,2672324.00,0,110
2016-10-03,576.00,609.00,576.00,597.00,0.00,1250.00,741697.00,0,111
2016-10-02,587.00,591.00,576.00,576.00,0.00,1634.00,946609.00,0,112
2016-09-29,580.00,599.00,587.00,587.00,0.00,2422.00,1437698.00,0,113
