published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-03-14,229.00,228.00,216.00,219.00,0.00,8991.00,1981870.00,0,1
2017-03-13,225.00,230.00,225.00,229.00,0.00,7422.00,1689796.00,0,2
2017-03-09,232.00,232.00,225.00,225.00,0.00,769.00,177588.00,0,3
2017-03-07,237.00,237.00,229.00,232.00,0.00,1361.00,314967.00,0,4
2017-03-06,231.00,237.00,227.00,237.00,0.00,1923.00,447655.00,0,5
2017-03-05,230.00,233.00,229.00,231.00,0.00,784.00,181871.00,0,6
2017-03-02,228.00,233.00,226.00,230.00,0.00,2140.00,492380.00,0,7
2017-03-01,229.00,229.00,222.00,228.00,0.00,2062.00,466523.00,0,8
2017-02-28,228.00,233.00,225.00,229.00,0.00,3376.00,772588.00,0,9
2017-02-26,230.00,235.00,228.00,228.00,0.00,1422.00,329975.00,0,10
2017-02-23,229.00,234.00,230.00,230.00,0.00,1056.00,244880.00,0,11
2017-02-22,225.00,229.00,223.00,229.00,0.00,20770.00,4674370.00,0,12
2017-02-21,228.00,235.00,225.00,225.00,0.00,2348.00,535840.00,0,13
2017-02-20,236.00,245.00,228.00,228.00,0.00,2170.00,520741.00,0,14
2017-02-19,233.00,237.00,230.00,236.00,0.00,2723.00,634310.00,0,15
2017-02-16,235.00,242.00,233.00,233.00,0.00,1142.00,269092.00,0,16
2017-02-15,218.00,235.00,214.00,235.00,0.00,6595.00,1451152.00,0,17
2017-02-14,222.00,220.00,218.00,218.00,0.00,900.00,197810.00,0,18
2017-02-13,225.00,224.00,216.00,222.00,0.00,1601.00,354410.00,0,19
2017-02-12,236.00,235.00,225.00,225.00,0.00,2299.00,530761.00,0,20
2017-02-09,238.00,240.00,231.00,236.00,0.00,1421.00,331981.00,0,21
2017-02-08,242.00,242.00,238.00,238.00,0.00,443.00,105944.00,0,22
2017-02-07,245.00,245.00,242.00,242.00,0.00,511.00,123995.00,0,23
2017-02-06,250.00,254.00,245.00,245.00,0.00,3738.00,931524.00,0,24
2017-02-05,245.00,250.00,241.00,250.00,0.00,990.00,242610.00,0,25
2017-02-02,245.00,249.00,241.00,245.00,0.00,2412.00,587085.00,0,26
2017-02-01,230.00,250.00,234.00,245.00,0.00,863.00,209436.00,0,27
2017-01-31,235.00,243.00,230.00,230.00,0.00,1716.00,402953.00,0,28
2017-01-30,248.00,250.00,226.00,235.00,0.00,2737.00,639779.00,0,29
2017-01-26,258.00,259.00,245.00,248.00,0.00,1951.00,489279.00,0,30
2017-01-25,264.00,262.00,258.00,258.00,0.00,151.00,39140.00,0,31
2017-01-24,264.00,269.00,262.00,264.00,0.00,2659.00,700621.00,0,32
2017-01-23,267.00,268.00,264.00,264.00,0.00,1140.00,302370.00,0,33
2017-01-22,265.00,271.00,265.00,267.00,0.00,2043.00,548884.00,0,34
2017-01-19,270.00,266.00,262.00,265.00,0.00,1489.00,392793.00,0,35
2017-01-18,264.00,270.00,262.00,270.00,0.00,2090.00,553260.00,0,36
2017-01-17,265.00,269.00,262.00,264.00,0.00,4979.00,1318971.00,0,37
2017-01-16,269.00,270.00,265.00,265.00,0.00,5611.00,1500497.00,0,38
2017-01-15,271.00,270.00,267.00,269.00,0.00,723.00,194561.00,0,39
2017-01-12,271.00,276.00,271.00,271.00,0.00,1005.00,275968.00,0,40
2017-01-11,277.00,284.00,271.00,271.00,0.00,2380.00,656780.00,0,41
2017-01-10,279.00,280.00,275.00,277.00,0.00,1140.00,316390.00,0,42
2017-01-09,277.00,281.00,274.00,279.00,0.00,1869.00,521401.00,0,43
2017-01-08,280.00,280.00,270.00,277.00,0.00,3954.00,1080380.00,0,44
2017-01-05,276.00,286.00,276.00,280.00,0.00,3199.00,910394.00,0,45
2017-01-04,281.00,276.00,276.00,276.00,0.00,30.00,8280.00,0,46
2017-01-03,290.00,290.00,281.00,281.00,0.00,2651.00,761815.00,0,47
2017-01-02,285.00,290.00,289.00,290.00,0.00,2602.00,752549.00,0,48
2017-01-01,285.00,290.00,285.00,285.00,0.00,1506.00,434050.00,0,49
2016-12-29,280.00,295.00,280.00,285.00,0.00,1000.00,282750.00,0,50
2016-12-28,275.00,280.00,270.00,280.00,0.00,1421.00,390060.00,0,51
2016-12-27,285.00,300.00,270.00,275.00,0.00,4586.00,1259790.00,0,52
2016-12-26,292.00,287.00,283.00,285.00,0.00,3690.00,1051495.00,0,53
2016-12-22,295.00,295.00,285.00,292.00,0.00,2218.00,638284.00,0,54
2016-12-21,291.00,298.00,286.00,295.00,0.00,2877.00,848798.00,0,55
2016-12-20,299.00,298.00,289.00,291.00,0.00,2913.00,853322.00,0,56
2016-12-19,309.00,305.00,293.00,299.00,0.00,3311.00,980821.00,0,57
2016-12-18,290.00,310.00,291.00,309.00,0.00,6304.00,1889832.00,0,58
2016-12-15,275.00,290.00,270.00,290.00,0.00,3365.00,936415.00,0,59
2016-12-14,278.00,277.00,270.00,275.00,0.00,1755.00,475678.00,0,60
2016-12-11,284.00,285.00,278.00,278.00,0.00,3066.00,859205.00,0,61
2016-12-08,292.00,288.00,283.00,284.00,0.00,265.00,75315.00,0,62
2016-12-07,299.00,300.00,287.00,292.00,0.00,1003.00,294705.00,0,63
2016-12-06,295.00,300.00,288.00,299.00,0.00,1408.00,414717.00,0,64
2016-12-05,300.00,300.00,295.00,295.00,0.00,2900.00,857050.00,0,65
2016-12-04,308.00,302.00,292.00,300.00,0.00,3304.00,972682.00,0,66
2016-12-01,306.00,312.00,300.00,308.00,0.00,10372.00,3205316.00,0,67
2016-11-30,280.00,306.00,277.00,306.00,0.00,4298.00,1255392.00,0,68
2016-11-29,260.00,280.00,250.00,280.00,0.00,12081.00,3218805.00,0,69
2016-11-28,260.00,260.00,241.00,260.00,0.00,4536.00,1132829.00,0,70
2016-11-27,276.00,272.00,257.00,260.00,0.00,3339.00,878828.00,0,71
2016-11-24,281.00,284.00,271.00,276.00,0.00,1895.00,522920.00,0,72
2016-11-23,297.00,297.00,275.00,281.00,0.00,1285.00,369825.00,0,73
2016-11-22,296.00,300.00,295.00,297.00,0.00,2761.00,820420.00,0,74
2016-11-21,296.00,310.00,291.00,296.00,0.00,4155.00,1259506.00,0,75
2016-11-20,317.00,311.00,290.00,296.00,0.00,5417.00,1594265.00,0,76
2016-11-17,330.00,335.00,311.00,317.00,0.00,2853.00,916880.00,0,77
2016-11-16,335.00,335.00,329.00,330.00,0.00,4125.00,1371608.00,0,78
2016-11-15,338.00,344.00,335.00,335.00,0.00,1703.00,580299.00,0,79
2016-11-14,338.00,341.00,335.00,338.00,0.00,1262.00,424950.00,0,80
2016-11-13,342.00,342.00,338.00,338.00,0.00,1334.00,453871.00,0,81
2016-11-10,335.00,342.00,334.00,342.00,0.00,2656.00,900917.00,0,82
2016-11-09,342.00,341.00,334.00,335.00,0.00,1320.00,446665.00,0,83
2016-11-08,350.00,350.00,339.00,342.00,0.00,5106.00,1745631.00,0,84
2016-11-07,350.00,364.00,349.00,350.00,0.00,828.00,295958.00,0,85
2016-11-03,360.00,365.00,343.00,350.00,0.00,1955.00,685955.00,0,86
2016-10-27,367.00,367.00,358.00,360.00,0.00,4346.00,1573914.00,0,87
2016-10-26,375.00,379.00,345.00,367.00,0.00,5508.00,1984455.00,0,88
2016-10-25,351.00,379.00,343.00,375.00,0.00,5823.00,2137055.00,0,89
2016-10-24,363.00,358.00,351.00,351.00,0.00,1996.00,703603.00,0,90
2016-10-23,348.00,369.00,350.00,363.00,0.00,11536.00,4154942.00,0,91
2016-10-20,344.00,351.00,344.00,348.00,0.00,1215.00,425481.00,0,92
2016-10-19,353.00,353.00,344.00,344.00,0.00,2448.00,854205.00,0,93
2016-10-18,358.00,360.00,353.00,353.00,0.00,1142.00,403866.00,0,94
2016-10-17,362.00,358.00,357.00,358.00,0.00,475.00,169910.00,0,95
2016-10-16,361.00,362.00,350.00,362.00,0.00,743.00,263612.00,0,96
2016-10-06,348.00,361.00,345.00,361.00,0.00,462.00,163280.00,0,97
2016-10-05,350.00,353.00,348.00,348.00,0.00,840.00,294508.00,0,98
2016-10-04,345.00,358.00,347.00,350.00,0.00,1710.00,600574.00,0,99
2016-10-03,350.00,353.00,345.00,345.00,0.00,9386.00,3264539.00,0,100
2016-10-02,355.00,351.00,345.00,350.00,0.00,1806.00,626846.00,0,101
2016-09-29,355.00,359.00,350.00,355.00,0.00,5383.00,1906205.00,0,102
2016-09-28,350.00,356.00,342.00,355.00,0.00,3461.00,1220784.00,0,103
2016-09-27,361.00,365.00,350.00,350.00,0.00,2579.00,923564.00,0,104
2016-09-26,352.00,363.00,341.00,361.00,0.00,2261.00,811187.00,0,105
2016-09-25,370.00,377.00,352.00,352.00,0.00,1443.00,529832.00,0,106
2016-09-22,361.00,370.00,347.00,370.00,0.00,4467.00,1603500.00,0,107
2016-09-21,360.00,361.00,356.00,361.00,0.00,8632.00,3096377.00,0,108
2016-09-20,362.00,360.00,355.00,360.00,0.00,6741.00,2412232.00,0,109
2016-09-18,372.00,370.00,360.00,362.00,0.00,2145.00,775943.00,0,110
2016-09-14,379.00,382.00,371.00,372.00,0.00,5239.00,1977725.00,0,111
2016-09-12,382.00,385.00,379.00,379.00,0.00,5175.00,1974580.00,0,112
2016-09-11,386.00,390.00,377.00,382.00,0.00,5207.00,1986772.00,0,113
2016-09-08,387.00,397.00,385.00,386.00,0.00,31314.00,12199543.00,0,114
2016-09-07,363.00,398.00,370.00,387.00,0.00,54590.00,20822138.00,0,115
2016-09-06,367.00,372.00,361.00,363.00,0.00,11534.00,4238053.00,0,116
2016-09-05,363.00,370.00,364.00,367.00,0.00,11045.00,4051092.00,0,117
2016-09-04,368.00,369.00,362.00,363.00,0.00,8608.00,3144075.00,0,118
2016-09-03,368.00,369.00,362.00,363.00,0.00,8608.00,3144075.00,0,119
2016-09-01,357.00,370.00,355.00,368.00,0.00,14488.00,5258957.00,0,120
2016-08-31,365.00,365.00,357.00,357.00,0.00,6677.00,2402000.00,0,121
2016-08-30,372.00,372.00,365.00,365.00,0.00,6158.00,2257081.00,0,122
2016-08-29,365.00,372.00,353.00,372.00,0.00,6295.00,2300137.00,0,123
2016-08-28,362.00,366.00,355.00,365.00,0.00,10304.00,3706540.00,0,124
2016-08-24,360.00,366.00,360.00,362.00,0.00,6672.00,2417647.00,0,125
2016-08-23,357.00,365.00,356.00,360.00,0.00,33187.00,11995150.00,0,126
2016-08-22,371.00,378.00,350.00,357.00,0.00,5806.00,2092219.00,0,127
2016-08-21,375.00,380.00,368.00,371.00,0.00,4937.00,1855968.00,0,128
2016-08-17,372.00,381.00,366.00,375.00,0.00,9928.00,3727336.00,0,129
2016-08-16,359.00,377.00,353.00,372.00,0.00,12360.00,4490885.00,0,130
2016-08-15,371.00,370.00,350.00,359.00,0.00,28582.00,10150880.00,0,131
2016-08-14,385.00,378.00,364.00,371.00,0.00,7518.00,2774400.00,0,132
2016-08-11,390.00,405.00,385.00,385.00,0.00,12758.00,5048146.00,0,133
2016-08-10,355.00,390.00,362.00,390.00,0.00,24044.00,9171345.00,0,134
