published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-10-19,101.00,101.00,101.00,101.00,0.00,80000.00,8080000.00,0,1
2016-10-02,101.00,101.00,101.00,101.00,0.00,150000.00,15150000.00,0,2
2016-07-17,100.00,101.00,101.00,101.00,0.00,69207.00,6989907.00,0,3
2016-07-11,100.00,100.00,100.00,100.00,0.00,80430.00,8043000.00,0,4
2016-07-10,100.00,100.00,100.00,100.00,0.00,160858.00,16085800.00,0,5
2016-06-15,100.00,100.00,100.00,100.00,0.00,100000.00,10000000.00,0,6
2016-03-29,100.00,100.00,100.00,100.00,0.00,10000.00,1000000.00,0,7
2016-03-01,100.00,100.00,100.00,100.00,0.00,138471.00,13847100.00,0,8
2016-01-27,100.00,100.00,100.00,100.00,0.00,20000.00,2000000.00,0,9
2016-01-07,100.00,100.00,100.00,100.00,0.00,5000.00,500000.00,0,10
2015-11-05,100.00,100.00,100.00,100.00,0.00,25000.00,2500000.00,0,11
2015-09-10,100.00,100.00,100.00,100.00,0.00,150000.00,15000000.00,0,12
2015-06-24,102.00,100.00,100.00,100.00,0.00,31469.00,3146900.00,0,13
2015-04-20,100.00,102.00,102.00,102.00,0.00,75000.00,7650000.00,0,14
2015-04-08,100.00,100.00,100.00,100.00,0.00,65000.00,6500000.00,0,15
2015-03-03,100.00,100.00,100.00,100.00,0.00,156830.00,15683000.00,0,16
2015-03-02,100.00,100.00,100.00,100.00,0.00,150000.00,15000000.00,0,17
2014-11-09,102.00,100.00,100.00,100.00,0.00,75000.00,7500000.00,0,18
2014-11-06,100.00,102.00,102.00,102.00,0.00,10000.00,1020000.00,0,19
2014-10-19,0.00,100.00,100.00,100.00,0.00,23200.00,2320000.00,0,20
