published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2013-02-28,142.00,142.00,141.00,141.00,0.00,620.00,88020.00,0,1
2013-02-20,140.00,142.00,142.00,142.00,0.00,1273.00,180766.00,0,2
2013-02-07,140.00,140.00,140.00,140.00,0.00,159.00,22260.00,0,3
2013-01-20,140.00,140.00,140.00,140.00,0.00,66.00,9240.00,0,4
2012-12-23,157.00,140.00,140.00,140.00,0.00,2822.00,395080.00,0,5
2012-12-20,143.00,157.00,145.00,157.00,0.00,3710.00,573861.00,0,6
2012-12-19,135.00,143.00,137.00,143.00,0.00,92.00,12940.00,0,7
2012-12-18,123.00,135.00,125.00,135.00,0.00,853.00,111865.00,0,8
2012-12-16,125.00,123.00,123.00,123.00,0.00,82.00,10086.00,0,9
2012-12-13,127.00,125.00,125.00,125.00,0.00,94.00,11750.00,0,10
2012-12-12,127.00,127.00,125.00,127.00,0.00,1497.00,187331.00,0,11
2012-12-11,125.00,127.00,127.00,127.00,0.00,1456.00,184912.00,0,12
2012-12-10,127.00,127.00,125.00,125.00,0.00,1024.00,129768.00,0,13
2012-12-09,133.00,131.00,127.00,127.00,0.00,437.00,56047.00,0,14
2012-12-06,139.00,137.00,133.00,133.00,0.00,351.00,47337.00,0,15
2012-12-05,143.00,141.00,139.00,139.00,0.00,244.00,33956.00,0,16
2012-11-29,158.00,155.00,143.00,143.00,0.00,1033.00,155247.00,0,17
2012-11-27,161.00,158.00,158.00,158.00,0.00,50.00,7900.00,0,18
2012-11-26,176.00,173.00,161.00,161.00,0.00,606.00,101454.00,0,19
2012-11-11,182.00,179.00,176.00,176.00,0.00,175.00,30830.00,0,20
2012-10-31,194.00,191.00,182.00,182.00,0.00,1048.00,196643.00,0,21
2012-10-17,201.00,197.00,194.00,194.00,0.00,2179.00,428567.00,0,22
2012-10-07,205.00,201.00,201.00,201.00,0.00,30.00,6030.00,0,23
2012-10-03,213.00,209.00,205.00,205.00,0.00,737.00,151433.00,0,24
2012-10-01,217.00,213.00,213.00,213.00,0.00,16.00,3408.00,0,25
2012-10-01,217.00,213.00,213.00,213.00,0.00,16.00,3408.00,0,26
2012-09-30,225.00,221.00,217.00,217.00,0.00,26.00,5682.00,0,27
2012-09-13,233.00,229.00,225.00,225.00,0.00,577.00,129865.00,0,28
2012-09-05,225.00,233.00,229.00,233.00,0.00,100.00,23220.00,0,29
2012-08-29,232.00,225.00,225.00,225.00,0.00,500.00,112500.00,0,30
2012-08-13,232.00,232.00,232.00,232.00,0.00,100.00,23200.00,0,31
2012-07-10,236.00,232.00,232.00,232.00,0.00,100.00,23200.00,0,32
2012-06-17,240.00,236.00,236.00,236.00,0.00,61.00,14396.00,0,33
2012-05-08,240.00,240.00,240.00,240.00,0.00,2162.00,518880.00,0,34
2012-04-04,240.00,240.00,240.00,240.00,0.00,72.00,17280.00,0,35
2012-03-11,240.00,240.00,240.00,240.00,0.00,2500.00,600000.00,0,36
2012-02-23,238.00,240.00,240.00,240.00,0.00,100.00,24000.00,0,37
2011-12-29,242.00,238.00,238.00,238.00,0.00,13.00,3094.00,0,38
2011-11-08,242.00,242.00,242.00,242.00,0.00,176.00,42592.00,0,39
2011-10-30,242.00,242.00,242.00,242.00,0.00,205.00,49610.00,0,40
2011-10-25,242.00,242.00,242.00,242.00,0.00,502.00,121484.00,0,41
2011-09-26,242.00,242.00,242.00,242.00,0.00,200.00,48400.00,0,42
2011-09-07,245.00,246.00,242.00,242.00,0.00,98.00,23912.00,0,43
2011-07-19,255.00,250.00,245.00,245.00,0.00,75.00,18440.00,0,44
2011-04-18,250.00,255.00,255.00,255.00,0.00,15.00,3825.00,0,45
