published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-04-13,174.00,172.00,168.00,172.00,0.00,1242.00,212236.00,0,1
2014-04-10,176.00,179.00,173.00,174.00,0.00,4621.00,815224.00,0,2
2014-04-09,165.00,180.00,168.00,176.00,0.00,5930.00,1044682.00,0,3
2014-04-07,150.00,165.00,153.00,165.00,0.00,2122.00,348696.00,0,4
2014-04-06,143.00,150.00,141.00,150.00,0.00,930.00,134064.00,0,5
2014-04-03,147.00,145.00,142.00,143.00,0.00,846.00,121010.00,0,6
2014-04-02,152.00,149.00,147.00,147.00,0.00,44.00,6532.00,0,7
2014-04-01,155.00,155.00,152.00,152.00,0.00,196.00,30278.00,0,8
2014-03-31,161.00,158.00,155.00,155.00,0.00,2470.00,390044.00,0,9
2014-03-27,165.00,162.00,159.00,161.00,0.00,342.00,54950.00,0,10
2014-03-26,165.00,171.00,165.00,165.00,0.00,1072.00,180260.00,0,11
2014-03-25,150.00,165.00,153.00,165.00,0.00,802.00,132030.00,0,12
2014-03-24,148.00,150.00,150.00,150.00,0.00,850.00,127500.00,0,13
2014-03-23,144.00,148.00,146.00,148.00,0.00,32.00,4696.00,0,14
2014-03-20,138.00,144.00,132.00,144.00,0.00,1506.00,204924.00,0,15
2014-03-19,135.00,138.00,135.00,138.00,0.00,143.00,19542.00,0,16
2014-03-18,136.00,136.00,134.00,135.00,0.00,264.00,35628.00,0,17
2014-03-17,142.00,140.00,136.00,136.00,0.00,374.00,51296.00,0,18
2014-03-13,151.00,148.00,142.00,142.00,0.00,83.00,11996.00,0,19
2014-03-12,154.00,151.00,146.00,151.00,0.00,672.00,100800.00,0,20
2014-03-10,162.00,160.00,154.00,154.00,0.00,166.00,26248.00,0,21
2014-03-09,165.00,165.00,162.00,162.00,0.00,580.00,95346.00,0,22
2014-03-06,176.00,179.00,162.00,165.00,0.00,1062.00,182790.00,0,23
2014-03-05,164.00,177.00,167.00,176.00,0.00,3094.00,539072.00,0,24
2014-03-04,163.00,164.00,152.00,164.00,0.00,3916.00,631632.00,0,25
2014-03-03,174.00,175.00,158.00,163.00,0.00,702.00,117624.00,0,26
2014-02-26,180.00,178.00,174.00,174.00,0.00,1645.00,291257.00,0,27
2014-02-25,187.00,184.00,180.00,180.00,0.00,398.00,72778.00,0,28
2014-02-24,190.00,187.00,187.00,187.00,0.00,94.00,17578.00,0,29
2014-02-23,187.00,190.00,190.00,190.00,0.00,132.00,25080.00,0,30
2014-02-20,184.00,190.00,186.00,187.00,0.00,150.00,27996.00,0,31
2014-02-18,178.00,187.00,181.00,184.00,0.00,158.00,29042.00,0,32
2014-02-17,184.00,201.00,178.00,178.00,0.00,2610.00,485478.00,0,33
2014-02-16,168.00,184.00,171.00,184.00,0.00,1314.00,239428.00,0,34
2014-02-13,153.00,168.00,156.00,168.00,0.00,374.00,60130.00,0,35
2014-02-12,154.00,154.00,151.00,153.00,0.00,734.00,112160.00,0,36
2014-02-11,145.00,154.00,143.00,154.00,0.00,5467.00,823593.00,0,37
2014-02-10,143.00,145.00,144.00,145.00,0.00,240.00,34756.00,0,38
2014-02-09,145.00,143.00,143.00,143.00,0.00,86.00,12298.00,0,39
2014-02-06,143.00,145.00,141.00,145.00,0.00,610.00,87698.00,0,40
2014-02-04,143.00,144.00,141.00,143.00,0.00,1596.00,229202.00,0,41
2014-02-03,141.00,143.00,138.00,143.00,0.00,1072.00,148820.00,0,42
2014-02-02,140.00,142.00,138.00,141.00,0.00,854.00,118780.00,0,43
2014-01-29,142.00,144.00,140.00,140.00,0.00,618.00,87380.00,0,44
2014-01-28,140.00,144.00,136.00,142.00,0.00,696.00,97906.00,0,45
2014-01-27,139.00,148.00,140.00,140.00,0.00,894.00,129198.00,0,46
2014-01-26,127.00,139.00,126.00,139.00,0.00,666.00,88816.00,0,47
2014-01-23,116.00,127.00,118.00,127.00,0.00,726.00,90164.00,0,48
2014-01-22,108.00,118.00,110.00,116.00,0.00,2096.00,240904.00,0,49
2014-01-21,110.00,110.00,108.00,108.00,0.00,56.00,6072.00,0,50
2014-01-20,112.00,116.00,108.00,110.00,0.00,620.00,68120.00,0,51
2014-01-19,114.00,112.00,112.00,112.00,0.00,88.00,9856.00,0,52
2014-01-16,112.00,114.00,108.00,114.00,0.00,517.00,57568.00,0,53
2014-01-14,108.00,112.00,100.00,112.00,0.00,466.00,49140.00,0,54
2014-01-13,110.00,110.00,106.00,108.00,0.00,662.00,71728.00,0,55
2014-01-12,116.00,114.00,110.00,110.00,0.00,210.00,23280.00,0,56
2013-12-29,121.00,127.00,121.00,126.00,0.00,2116.00,262652.00,0,57
2013-12-26,114.00,121.00,112.00,121.00,0.00,1460.00,172154.00,0,58
2013-12-24,114.00,114.00,112.00,114.00,0.00,284.00,31940.00,0,59
2013-12-23,108.00,117.00,108.00,114.00,0.00,9102.00,993114.00,0,60
2013-12-22,119.00,117.00,109.00,109.00,0.00,282.00,32190.00,0,61
2013-12-16,119.00,119.00,117.00,119.00,0.00,458.00,53690.00,0,62
2013-12-10,123.00,123.00,121.00,121.00,0.00,168.00,20528.00,0,63
2013-12-09,117.00,123.00,119.00,123.00,0.00,590.00,71330.00,0,64
2013-12-05,112.00,118.00,114.00,117.00,0.00,422.00,48896.00,0,65
2013-12-04,107.00,112.00,109.00,112.00,0.00,134.00,14696.00,0,66
2013-12-03,104.00,109.00,106.00,107.00,0.00,584.00,63100.00,0,67
2013-12-01,108.00,108.00,104.00,104.00,0.00,90.00,9500.00,0,68
2013-11-28,106.00,108.00,108.00,108.00,0.00,22.00,2376.00,0,69
2013-11-26,98.00,106.00,99.00,106.00,0.00,216.00,22088.00,0,70
2013-11-25,96.00,98.00,97.00,98.00,0.00,46.00,4498.00,0,71
2013-11-24,88.00,96.00,89.00,96.00,0.00,398.00,36578.00,0,72
2013-10-29,88.00,88.00,88.00,88.00,0.00,44.00,3872.00,0,73
2013-10-23,87.00,88.00,88.00,88.00,0.00,88.00,7744.00,0,74
2013-10-08,85.00,87.00,86.00,87.00,0.00,150.00,12940.00,0,75
